Season,TeamID,Seed
1985,1207,1
1985,1210,2
1985,1228,3
1985,1260,4
1985,1374,5
1985,1208,6
1985,1393,7
1985,1396,8
1985,1439,9
1985,1177,10
1985,1455,11
1985,1330,12
1985,1233,13
1985,1318,14
1985,1273,15
1985,1250,16
1985,1385,1
1985,1433,2
1985,1301,3
1985,1424,4
1985,1449,5
1985,1409,6
1985,1104,7
1985,1234,8
1985,1116,9
1985,1112,10
1985,1431,11
1985,1246,12
1985,1361,13
1985,1305,14
1985,1267,15
1985,1380,16
1985,1328,1
1985,1272,2
1985,1181,3
1985,1326,4
1985,1256,5
1985,1403,6
1985,1412,7
1985,1425,8
1985,1229,9
1985,1277,10
1985,1130,11
1985,1338,12
1985,1235,13
1985,1337,14
1985,1335,15
1985,1299,16
1985,1276,1
1985,1314,2
1985,1242,3
1985,1261,4
1985,1268,5
1985,1345,6
1985,1323,7
1985,1437,8
1985,1173,9
1985,1333,10
1985,1120,11
1985,1275,12
1985,1298,13
1985,1325,14
1985,1292,15
1985,1192,16
1986,1181,1
1986,1393,2
1986,1231,3
1986,1328,4
1986,1438,5
1986,1386,6
1986,1298,7
1986,1330,8
1986,1452,9
1986,1409,10
1986,1350,11
1986,1177,12
1986,1318,13
1986,1156,14
1986,1135,15
1986,1290,16
1986,1242,1
1986,1276,2
1986,1323,3
1986,1207,4
1986,1277,5
1986,1301,6
1986,1235,7
1986,1239,8
1986,1396,9
1986,1275,10
1986,1234,11
1986,1449,12
1986,1403,13
1986,1114,14
1986,1103,15
1986,1299,16
1986,1246,1
1986,1210,2
1986,1272,3
1986,1228,4
1986,1104,5
1986,1345,6
1986,1439,7
1986,1443,8
1986,1304,9
1986,1437,10
1986,1261,11
1986,1462,12
1986,1193,13
1986,1123,14
1986,1265,15
1986,1172,16
1986,1385,1
1986,1257,2
1986,1314,3
1986,1424,4
1986,1268,5
1986,1412,6
1986,1133,7
1986,1120,8
1986,1112,9
1986,1431,10
1986,1281,11
1986,1337,12
1986,1419,13
1986,1428,14
1986,1180,15
1986,1286,16
1987,1314,1
1987,1393,2
1987,1345,3
1987,1395,4
1987,1323,5
1987,1196,6
1987,1452,7
1987,1298,8
1987,1276,9
1987,1443,10
1987,1301,11
1987,1292,12
1987,1267,13
1987,1318,14
1987,1204,15
1987,1335,16
1987,1207,1
1987,1104,2
1987,1228,3
1987,1155,4
1987,1242,5
1987,1344,6
1987,1309,7
1987,1246,8
1987,1326,9
1987,1140,10
1987,1412,11
