Season,DayNum,round
2003,134,0
2003,136,1
2003,137,1
2003,138,2
2003,139,2
2003,143,3
2003,144,3
2003,145,4
2003,146,4
2003,152,5
2003,154,6
2004,134,0
2004,136,1
2004,137,1
2004,138,2
2004,139,2
2004,143,3
2004,144,3
2004,145,4
2004,146,4
2004,152,5
2004,154,6
2005,134,0
2005,136,1
2005,137,1
2005,138,2
2005,139,2
2005,143,3
2005,144,3
2005,145,4
2005,146,4
2005,152,5
2005,154,6
2006,134,0
2006,136,1
2006,137,1
2006,138,2
2006,139,2
2006,143,3
2006,144,3
2006,145,4
2006,146,4
2006,152,5
2006,154,6
2007,134,0
2007,136,1
2007,137,1
2007,138,2
2007,139,2
2007,143,3
2007,144,3
2007,145,4
2007,146,4
2007,152,5
2007,154,6
2008,134,0
2008,136,1
2008,137,1
2008,138,2
2008,139,2
2008,143,3
2008,144,3
2008,145,4
2008,146,4
2008,152,5
2008,154,6
2009,134,0
2009,136,1
2009,137,1
2009,138,2
2009,139,2
2009,143,3
2009,144,3
2009,145,4
2009,146,4
2009,152,5
2009,154,6
2010,134,0
2010,136,1
2010,137,1
2010,138,2
2010,139,2
2010,143,3
2010,144,3
2010,145,4
2010,146,4
2010,152,5
2010,154,6
2011,134,0
2011,135,0
2011,136,1
2011,137,1
2011,138,2
2011,139,2
2011,143,3
2011,144,3
2011,145,4
2011,146,4
2011,152,5
2011,154,6
2012,134,0
2012,135,0
2012,136,1
2012,137,1
2012,138,2
2012,139,2
2012,143,3
2012,144,3
2012,145,4
2012,146,4
2012,152,5
2012,154,6
2013,134,0
2013,135,0
2013,136,1
2013,137,1
2013,138,2
2013,139,2
2013,143,3
2013,144,3
2013,145,4
2013,146,4
2013,152,5
2013,154,6
2014,134,0
2014,135,0
2014,136,1
2014,137,1
2014,138,2
2014,139,2
2014,143,3
2014,144,3
2014,145,4
2014,146,4
2014,152,5
2014,154,6
2015,134,0
2015,135,0
2015,136,1
2015,137,1
2015,138,2
2015,139,2
2015,143,3
2015,144,3
2015,145,4
2015,146,4
2015,152,5
2015,154,6
2016,134,0
2016,135,0
2016,136,1
2016,137,1
2016,138,2
2016,139,2
2016,143,3
2016,144,3
2016,145,4
2016,146,4
2016,152,5
2016,154,6
2017,134,0
2017,135,0
2017,136,1
2017,137,1
2017,138,2
2017,139,2
2017,143,3
2017,144,3
2017,145,4
2017,146,4
2017,152,5
2017,154,6
2018,134,0
2018,135,0
2018,136,1
2018,137,1
2018,138,2
2018,139,2
2018,143,3
2018,144,3
2018,145,4
2018,146,4
2018,152,5
2018,154,6
2019,134,0
2019,135,0
2019,136,1
2019,137,1
2019,138,2
2019,139,2
2019,143,3
2019,144,3
2019,145,4
2019,146,4
2019,152,5
2019,154,6
2022,134,0
2022,135,0
2022,136,1
2022,137,1
2022,138,2
2022,139,2
2022,143,3
2022,144,3
2022,145,4
2022,146,4
2022,152,5
2022,154,6
2021,136,0
2021,137,1
2021,138,1
2021,139,2
2021,140,2
2021,145,3
2021,146,3
2021,147,4
2021,148,4
2021,152,5
2021,154,6
