Team,Odds,Year,,,,,,,,,,,,,
Kansas,900,2022,,1200,1200,1100,1000,1000,650,500,450,350,120,-385,** WINNER **
North Carolina,12500,2022,,Butler,6600,5000,8000,8000,6000,8000,5000,4000,1600,400,300
Duke,1400,2022,,West Virginia,1800,1600,2000,2000,2000,1000,900,850,850,250,
Villanova,1800,2022,,Michigan State,1500,1200,1200,1400,1800,2500,2800,2200,1600,450,
Houston,3300,2022,,Kentucky,500,500,250,300,200,300,250,190,120,,
Arkansas,6600,2022,,Kansas State,10000,8000,6000,3500,1800,2000,1800,1000,500,,
Miami (FL),25000,2022,,Baylor,5000,5000,15000,5000,6500,3500,2200,1800,1200,,
St Peter's,300000,2022,,Tennessee,3000,2500,3000,3000,5000,6600,3300,3300,1400,,
Gonzaga,300,2022,,Syracuse,1800,1500,600,650,450,700,650,500,,,
Arizona,600,2022,,Ohio State,6600,4000,5000,6500,1000,1200,1400,700,,,
Purdue,1800,2022,,Xavier,6600,6000,8000,8000,6000,8000,8000,4000,,,
UCLA,2200,2022,,Purdue,2500,2000,1500,1500,1000,6000,4000,5000,,,
Texas Tech,2200,2022,,Washington,5000,5000,10000,10000,6000,20000,10000,5000,,,
Michigan,12500,2022,,St Mary's (CA),,10000,10000,15000,,,10000,5000,,,
Providence,15000,2022,,Northern Iowa,,15000,20000,20000,25000,25000,15000,5000,,,
Iowa State,25000,2022,,Cornell,,,,,,,10000,8000,,,
Baylor,1200,2022,,Kansas,500,300,200,200,150,175,160,,,,
Auburn,1400,2022,,Villanova,1500,1500,1700,700,800,1800,1800,,,,
Tennessee,1800,2022,,Wisconsin,10000,10000,20000,7000,6000,5000,3300,,,,
Illinois,4000,2022,,Maryland,10000,6500,20000,15000,9000,3300,5000,,,,
Texas,8000,2022,,Pittsburgh,6600,6500,10000,5000,2500,5000,5000,,,,
Wisconsin,8000,2022,,New Mexico,,10000,10000,20000,3000,5000,5000,,,,
St Mary's (CA),12500,2022,,BYU,20000,20000,15000,6000,5000,10000,6600,,,,
Ohio State,20000,2022,,Wake Forest,3300,4000,10000,10000,15000,15000,6600,,,,
Michigan State,12500,2022,,Georgia Tech,6600,6000,6000,6000,15000,10000,8000,,,,
Memphis,12500,2022,,Missouri,3300,3000,10000,10000,20000,15000,8000,,,,
Murray State,25000,2022,,California,5000,4000,6000,6000,6500,10000,10000,,,,
Notre Dame,50000,2022,,Gonzaga,8000,7000,5000,4000,7000,10000,10000,,,,
Creighton,25000,2022,,Texas A&M,8000,6000,20000,15000,10000,10000,10000,,,,
TCU,25000,2022,,Old Dominion,,12500,20000,20000,,30000,25000,,,,
Richmond,100000,2022,,Ohio,,,,,,,25000,,,,
New Mexico State,100000,2022,,Murray State,,,,,,30000,30000,,,,
Kentucky,800,2022,,Georgetown,2000,2000,4000,1900,3000,2500,,,,,
Iowa,2500,2022,,Temple,,10000,10000,10000,8000,8000,,,,,
Connecticut,8000,2022,,Vanderbilt,,10000,20000,20000,8000,8000,,,,,
Alabama,12500,2022,,Texas,1200,1200,400,280,1200,10000,,,,,
LSU,12500,2022,,Louisville,1400,1400,5000,5000,7000,10000,,,,,
Loyola Chicago,15000,2022,,Memphis,5000,4000,6000,6000,20000,10000,,,,,
Virginia Tech,15000,2022,,Marquette,,10000,20000,15000,25000,10000,,,,,
USC,20000,2022,,Notre Dame,5000,4000,20000,10000,,10000,,,,,
Marquette,20000,2022,,Oklahoma State,10000,8000,20000,15000,,10000,,,,,
San Francisco,20000,2022,,Florida,2500,1600,5000,5000,20000,12500,,,,,
