Season,DayNum,round,wm
2003,134,0,m
2003,136,1,m
2003,136,1,m
2003,136,1,m
2003,136,1,m
2003,136,1,m
2003,136,1,m
2003,136,1,m
2003,136,1,m
2003,136,1,m
2003,136,1,m
2003,136,1,m
2003,136,1,m
2003,136,1,m
2003,136,1,m
2003,136,1,m
2003,136,1,m
2003,137,1,m
2003,137,1,m
2003,137,1,m
2003,137,1,m
2003,137,1,m
2003,137,1,m
2003,137,1,m
2003,137,1,m
2003,137,1,m
2003,137,1,m
2003,137,1,m
2003,137,1,m
2003,137,1,m
2003,137,1,m
2003,137,1,m
2003,137,1,m
2003,138,2,m
2003,138,2,m
2003,138,2,m
2003,138,2,m
2003,138,2,m
2003,138,2,m
2003,138,2,m
2003,138,2,m
2003,139,2,m
2003,139,2,m
2003,139,2,m
2003,139,2,m
2003,139,2,m
2003,139,2,m
2003,139,2,m
2003,139,2,m
2003,143,3,m
2003,143,3,m
2003,143,3,m
2003,143,3,m
2003,144,3,m
2003,144,3,m
2003,144,3,m
2003,144,3,m
2003,145,4,m
2003,145,4,m
2003,146,4,m
2003,146,4,m
2003,152,5,m
2003,152,5,m
2003,154,6,m
2004,134,0,m
2004,136,1,m
2004,136,1,m
2004,136,1,m
2004,136,1,m
2004,136,1,m
2004,136,1,m
2004,136,1,m
2004,136,1,m
2004,136,1,m
2004,136,1,m
2004,136,1,m
2004,136,1,m
2004,136,1,m
2004,136,1,m
2004,136,1,m
2004,136,1,m
2004,137,1,m
2004,137,1,m
2004,137,1,m
2004,137,1,m
2004,137,1,m
2004,137,1,m
2004,137,1,m
2004,137,1,m
2004,137,1,m
2004,137,1,m
2004,137,1,m
2004,137,1,m
2004,137,1,m
2004,137,1,m
2004,137,1,m
2004,137,1,m
2004,138,2,m
2004,138,2,m
2004,138,2,m
2004,138,2,m
2004,138,2,m
2004,138,2,m
2004,138,2,m
2004,138,2,m
2004,139,2,m
2004,139,2,m
2004,139,2,m
2004,139,2,m
2004,139,2,m
2004,139,2,m
2004,139,2,m
2004,139,2,m
2004,143,3,m
2004,143,3,m
2004,143,3,m
2004,143,3,m
2004,144,3,m
2004,144,3,m
2004,144,3,m
2004,144,3,m
2004,145,4,m
2004,145,4,m
2004,146,4,m
2004,146,4,m
2004,152,5,m
2004,152,5,m
2004,154,6,m
2005,134,0,m
2005,136,1,m
2005,136,1,m
2005,136,1,m
2005,136,1,m
2005,136,1,m
2005,136,1,m
2005,136,1,m
2005,136,1,m
2005,136,1,m
2005,136,1,m
2005,136,1,m
2005,136,1,m
2005,136,1,m
2005,136,1,m
2005,136,1,m
2005,136,1,m
2005,137,1,m
2005,137,1,m
2005,137,1,m
2005,137,1,m
2005,137,1,m
2005,137,1,m
2005,137,1,m
2005,137,1,m
2005,137,1,m
2005,137,1,m
2005,137,1,m
2005,137,1,m
2005,137,1,m
2005,137,1,m
2005,137,1,m
2005,137,1,m
2005,138,2,m
2005,138,2,m
2005,138,2,m
2005,138,2,m
2005,138,2,m
2005,138,2,m
2005,138,2,m
2005,138,2,m
2005,139,2,m
2005,139,2,m
2005,139,2,m
2005,139,2,m
2005,139,2,m
2005,139,2,m
2005,139,2,m
2005,139,2,m
2005,143,3,m
2005,143,3,m
2005,143,3,m
2005,143,3,m
2005,144,3,m
2005,144,3,m
2005,144,3,m
2005,144,3,m
2005,145,4,m
2005,145,4,m
2005,146,4,m
2005,146,4,m
2005,152,5,m
2005,152,5,m
2005,154,6,m
2006,134,0,m
2006,136,1,m
2006,136,1,m
2006,136,1,m
2006,136,1,m
2006,136,1,m
2006,136,1,m
2006,136,1,m
2006,136,1,m
2006,136,1,m
2006,136,1,m
2006,136,1,m
2006,136,1,m
2006,136,1,m
2006,136,1,m
2006,136,1,m
2006,136,1,m
2006,137,1,m
2006,137,1,m
2006,137,1,m
2006,137,1,m
2006,137,1,m
2006,137,1,m
2006,137,1,m
2006,137,1,m
2006,137,1,m
2006,137,1,m
2006,137,1,m
2006,137,1,m
2006,137,1,m
2006,137,1,m
2006,137,1,m
2006,137,1,m
2006,138,2,m
2006,138,2,m
2006,138,2,m
2006,138,2,m
2006,138,2,m
2006,138,2,m
2006,138,2,m
2006,138,2,m
2006,139,2,m
2006,139,2,m
2006,139,2,m
2006,139,2,m
2006,139,2,m
2006,139,2,m
2006,139,2,m
2006,139,2,m
2006,143,3,m
2006,143,3,m
