Season,Team_A,Team_B,Seed_A,Seed_B,round
2023,1101,1102,NA,NA,NA
2023,1101,1103,NA,NA,NA
2023,1101,1104,NA,1,NA
2023,1101,1105,NA,NA,NA
2023,1101,1106,NA,NA,NA
2023,1101,1107,NA,NA,NA
2023,1101,1108,NA,NA,NA
2023,1101,1110,NA,NA,NA
2023,1101,1111,NA,NA,NA
2023,1101,1112,NA,2,NA
2023,1101,1113,NA,11,NA
2023,1101,1114,NA,NA,NA
2023,1101,1115,NA,NA,NA
2023,1101,1116,NA,8,NA
2023,1101,1117,NA,NA,NA
2023,1101,1119,NA,NA,NA
2023,1101,1120,NA,9,NA
2023,1101,1122,NA,NA,NA
2023,1101,1123,NA,NA,NA
2023,1101,1124,NA,3,NA
2023,1101,1125,NA,NA,NA
2023,1101,1126,NA,NA,NA
2023,1101,1127,NA,NA,NA
2023,1101,1129,NA,10,NA
2023,1101,1130,NA,NA,NA
2023,1101,1131,NA,NA,NA
2023,1101,1132,NA,NA,NA
2023,1101,1133,NA,NA,NA
2023,1101,1135,NA,NA,NA
2023,1101,1136,NA,NA,NA
2023,1101,1137,NA,NA,NA
2023,1101,1138,NA,NA,NA
2023,1101,1139,NA,NA,NA
2023,1101,1140,NA,NA,NA
2023,1101,1141,NA,NA,NA
2023,1101,1142,NA,NA,NA
2023,1101,1143,NA,NA,NA
2023,1101,1144,NA,NA,NA
2023,1101,1145,NA,NA,NA
2023,1101,1146,NA,NA,NA
2023,1101,1148,NA,NA,NA
2023,1101,1149,NA,NA,NA
2023,1101,1150,NA,NA,NA
2023,1101,1151,NA,NA,NA
2023,1101,1152,NA,NA,NA
2023,1101,1153,NA,NA,NA
2023,1101,1154,NA,NA,NA
2023,1101,1155,NA,NA,NA
2023,1101,1156,NA,NA,NA
2023,1101,1157,NA,NA,NA
2023,1101,1158,NA,12,NA
2023,1101,1159,NA,15,NA
2023,1101,1160,NA,NA,NA
2023,1101,1161,NA,NA,NA
2023,1101,1162,NA,NA,NA
2023,1101,1163,NA,4,NA
2023,1101,1164,NA,NA,NA
