TeamName,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9
Three Point Prophets,1,1,1,6,12,12,13,13,13
Dunk Dunk Goose,2,7,9,8,11,7,7,7,3
Double Dunk Dogs,3,5,6,7,7,2,2,1,1
Good Question,4,8,7,5,6,11,11,11,11
Have a Fast Breakfast,5,2,8,11,10,10,6,6,2
RAAA23,6,4,2,12,9,6,10,10,9
Maria and Friends,7,6,4,2,5,9,9,9,10
T.R.A.V.I.S.,8,3,3,3,3,3,3,4,8
Bernoulli Ballers,9,13,13,13,13,13,12,12,12
KAKE01,10,9,10,9,4,5,8,8,7
BSPN23,11,10,5,1,1,1,1,2,4
AnythingWorks1,12,11,11,4,2,4,5,5,6
Widget Toy Set,13,12,12,10,8,8,4,3,5
