TeamName,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9
Three Point Prophets,1,1,1,304,657,926,996,1016,1013
Dunk Dunk Goose,261,650,573,455,566,494,525,562,472
Double Dunk Dogs,269,336,345,341,346,293,359,203,212
Good Question,291,734,436,303,313,586,697,741,777
Have a Fast Breakfast,458,80,460,563,541,577,521,555,428
RAAA23,524,141,97,601,447,492,620,657,636
Maria and Friends,666,338,132,48,304,537,571,638,668
T.R.A.V.I.S.,736,100,110,72,111,327,427,466,631
Bernoulli Ballers,956,1006,1011,1002,974,988,973,991,965
KAKE01,994,847,672,492,298,478,560,626,617
BSPN23,995,857,144,34,20,189,313,344,481
AnythingWorks1,1006,869,709,275,98,421,476,537,501
Widget Toy Set,1028,899,747,556,429,530,448,457,496
