Favorite,Seed_Favorite,Underdog,Seed_Underdog,Winner,Result,M/W,Round
Alabama,1,TAM C. Christi,16,Alabama,1,M,1
Houston,1,N Kentucky,16,Houston,1,M,1
Kansas,1,Howard,16,Kansas,1,M,1
Purdue,1,F Dickinson,16,F Dickinson,0,M,1
Arizona,2,Princeton,15,Princeton,0,M,1
Marquette,2,Vermont,15,Marquette,1,M,1
Texas,2,Colgate,15,Texas,1,M,1
UCLA,2,UNC Asheville,15,UCLA,1,M,1
Baylor,3,UC Santa Barbara,14,Baylor,1,M,1
Gonzaga,3,Grand Canyon,14,Gonzaga,1,M,1
Kansas St,3,Montana St,14,Kansas St,1,M,1
Xavier,3,Kennesaw,14,Xavier,1,M,1
Connecticut,4,Iona,13,Connecticut,1,M,1
Indiana,4,Kent,13,Indiana,1,M,1
Tennessee,4,Louisiana,13,Tennessee,1,M,1
Virginia,4,Furman,13,Furman,0,M,1
Duke,5,Oral Roberts,12,Duke,1,M,1
Miami FL,5,Drake,12,Miami FL,1,M,1
San Diego St,5,Col Charleston,12,San Diego St,1,M,1
St Mary's CA,5,VCU,12,St Mary's CA,1,M,1
Creighton,6,NC State,11,Creighton,1,M,1
Iowa St,6,Pittsburgh,11,Pittsburgh,0,M,1
Kentucky,6,Providence,11,Kentucky,1,M,1
TCU,6,Arizona St,11,TCU,1,M,1
Michigan St,7,USC,10,Michigan St,1,M,1
Missouri,7,Utah St,10,Missouri,1,M,1
Northwestern,7,Boise St,10,Northwestern,1,M,1
Texas A&M,7,Penn St,10,Penn St,0,M,1
Arkansas,8,Illinois,9,Arkansas,1,M,1
Iowa,8,Auburn,9,Auburn,0,M,1
Maryland,8,West Virginia,9,Maryland,1,M,1
Memphis,8,FL Atlantic,9,FL Atlantic,0,M,1
Indiana,1,Tennessee Tech,16,Indiana,1,W,1
South Carolina,1,Norfolk St,16,South Carolina,1,W,1
Stanford,1,Sacred Heart,16,Stanford,1,W,1
Virginia Tech,1,Chattanooga,16,Virginia Tech,1,W,1
Connecticut,2,Vermont,15,Connecticut,1,W,1
Iowa,2,SE Louisiana,15,Iowa,1,W,1
Maryland,2,Holy Cross,15,Maryland,1,W,1
Utah,2,Gardner Webb,15,Utah,1,W,1
Duke,3,Iona,14,Duke,1,W,1
LSU,3,Hawaii,14,LSU,1,W,1
Notre Dame,3,Southern Utah,14,Notre Dame,1,W,1
Ohio St,3,James Madison,14,Ohio St,1,W,1
Tennessee,4,St Louis,13,Tennessee,1,W,1
Texas,4,East Carolina,13,Texas,1,W,1
UCLA,4,CS Sacramento,13,UCLA,1,W,1
Villanova,4,Cleveland St,13,Villanova,1,W,1
Iowa St,5,Toledo,12,Toledo,0,W,1
Louisville,5,Drake,12,Louisville,1,W,1
Oklahoma,5,Portland,12,Oklahoma,1,W,1
Washington St,5,FL Gulf Coast,12,FL Gulf Coast,0,W,1
Colorado,6,MTSU,11,Colorado,1,W,1
Creighton,6,Mississippi St,11,Mississippi St,0,W,1
Michigan,6,UNLV,11,Michigan,1,W,1
North Carolina,6,St John's,11,North Carolina,1,W,1
Arizona,7,West Virginia,10,Arizona,1,W,1
Baylor,7,Alabama,10,Baylor,1,W,1
Florida St,7,Georgia,10,Georgia,0,W,1
NC State,7,Princeton,10,Princeton,0,W,1
Mississippi,8,Gonzaga,9,Mississippi,1,W,1
Oklahoma St,8,Miami FL,9,Miami FL,0,W,1
South Florida,8,Marquette,9,South Florida,1,W,1
USC,8,S Dakota St,9,S Dakota St,0,W,1
Alabama,1,Maryland,8,Alabama,1,M,2
Kansas,1,Arkansas,8,Arkansas,0,M,2
Houston,1,Auburn,9,Houston,1,M,2
Marquette,2,Michigan St,7,Michigan St,0,M,2
UCLA,2,Northwestern,7,UCLA,1,M,2
Texas,2,Penn St,10,Texas,1,M,2
Baylor,3,Creighton,6,Creighton,0,M,2
Gonzaga,3,TCU,6,Gonzaga,1,M,2
Kansas St,3,Kentucky,6,Kansas St,1,M,2
Xavier,3,Pittsburgh,11,Xavier,1,M,2
Connecticut,4,St Mary's CA,5,Connecticut,1,M,2
Indiana,4,Miami FL,5,Miami FL,0,M,2
Tennessee,4,Duke,5,Tennessee,1,M,2
San Diego St,5,Furman,13,San Diego St,1,M,2
Missouri,7,Princeton,15,Princeton,0,M,2
FL Atlantic,9,F Dickinson,16,FL Atlantic,1,M,2
South Carolina,1,South Florida,8,South Carolina,1,W,2
Stanford,1,Mississippi,8,Mississippi,0,W,2
Indiana,1,Miami FL,9,Miami FL,0,W,2
Virginia Tech,1,S Dakota St,9,Virginia Tech,1,W,2
Connecticut,2,Baylor,7,Connecticut,1,W,2
Maryland,2,Arizona,7,Maryland,1,W,2
Iowa,2,Georgia,10,Iowa,1,W,2
Utah,2,Princeton,10,Utah,1,W,2
Duke,3,Colorado,6,Colorado,0,W,2
LSU,3,Michigan,6,LSU,1,W,2
Ohio St,3,North Carolina,6,Ohio St,1,W,2
Notre Dame,3,Mississippi St,11,Notre Dame,1,W,2
Texas,4,Louisville,5,Louisville,0,W,2
UCLA,4,Oklahoma,5,UCLA,1,W,2
Tennessee,4,Toledo,12,Tennessee,1,W,2
Villanova,4,FL Gulf Coast,12,Villanova,1,W,2
Alabama,1,San Diego St,5,San Diego St,0,M,3
Houston,1,Miami FL,5,Miami FL,0,M,3
Texas,2,Xavier,3,Texas,1,M,3
UCLA,2,Gonzaga,3,Gonzaga,0,M,3
Kansas St,3,Michigan St,7,Kansas St,1,M,3
Connecticut,4,Arkansas,8,Connecticut,1,M,3
Tennessee,4,FL Atlantic,9,FL Atlantic,0,M,3
Creighton,6,Princeton,15,Creighton,1,M,3
South Carolina,1,UCLA,4,South Carolina,1,W,3
Virginia Tech,1,Tennessee,4,Virginia Tech,1,W,3
Connecticut,2,Ohio St,3,Ohio St,0,W,3
Maryland,2,Notre Dame,3,Maryland,1,W,3
Utah,2,LSU,3,LSU,0,W,3
Iowa,2,Colorado,6,Iowa,1,W,3
Villanova,4,Miami FL,9,Miami FL,0,W,3
Louisville,5,Mississippi,8,Louisville,1,W,3
Texas,2,Miami FL,5,Miami FL,0,M,4
Gonzaga,3,Connecticut,4,Connecticut,0,M,4
Kansas St,3,FL Atlantic,9,FL Atlantic,0,M,4
San Diego St,5,Creighton,6,San Diego St,1,M,4
South Carolina,1,Maryland,2,South Carolina,1,W,4
Virginia Tech,1,Ohio St,3,Virginia Tech,1,W,4
Iowa,2,Louisville,5,Iowa,1,W,4
LSU,3,Miami FL,9,LSU,1,W,4
