id,pred
2023_1101_1102,0.706376238
2023_1101_1103,0.283335343
2023_1101_1104,0.082291802
2023_1101_1105,0.579869078
2023_1101_1106,0.886234385
2023_1101_1107,0.884439421
2023_1101_1108,0.721226164
2023_1101_1110,0.716298216
2023_1101_1111,0.382189212
2023_1101_1112,0.134444524
2023_1101_1113,0.401745153
2023_1101_1114,0.726832793
2023_1101_1115,0.666005492
2023_1101_1116,0.278784609
2023_1101_1117,0.715135923
2023_1101_1119,0.465212486
2023_1101_1120,0.392019509
2023_1101_1122,0.848130434
2023_1101_1123,0.430166422
2023_1101_1124,0.407808173
2023_1101_1125,0.429682466
2023_1101_1126,0.790041981
2023_1101_1127,0.753570604
2023_1101_1129,0.275942943
2023_1101_1130,0.731239691
2023_1101_1131,0.624320664
2023_1101_1132,0.731547201
2023_1101_1133,0.223380367
2023_1101_1135,0.734175702
2023_1101_1136,0.377057653
2023_1101_1137,0.675253284
2023_1101_1138,0.511100469
2023_1101_1139,0.729149698
2023_1101_1140,0.271688415
2023_1101_1141,0.849791075
2023_1101_1142,0.790436929
2023_1101_1143,0.941440533
2023_1101_1144,0.547979595
2023_1101_1145,0.75329953
2023_1101_1146,0.847787753
2023_1101_1148,0.789337812
2023_1101_1149,0.765061307
2023_1101_1150,0.555828497
2023_1101_1151,0.298488403
2023_1101_1152,0.788373268
2023_1101_1153,0.253861204
2023_1101_1154,0.843248445
2023_1101_1155,0.297639982
2023_1101_1156,0.405844805
2023_1101_1157,0.683614908
2023_1101_1158,0.087102293
2023_1101_1159,0.199020236
2023_1101_1160,0.394050581
2023_1101_1161,0.60695701
2023_1101_1162,0.879545258
2023_1101_1163,0.161725395
2023_1101_1164,0.875587938
2023_1101_1165,0.527325274
2023_1101_1166,0.256155379
2023_1101_1167,0.773981305
2023_1101_1168,0.397804286
2023_1101_1169,0.821164442
2023_1101_1170,0.752276695
2023_1101_1171,0.732817277
2023_1101_1172,0.611803278
2023_1101_1173,0.280805437
2023_1101_1174,0.638454788
2023_1101_1175,0.910907286
2023_1101_1176,0.692169417
2023_1101_1177,0.781064677
2023_1101_1178,0.578052765
2023_1101_1179,0.140208256
2023_1101_1180,0.468566498
2023_1101_1181,0.263903606
2023_1101_1182,0.446597909
2023_1101_1183,0.712912451
2023_1101_1184,0.291838552
2023_1101_1185,0.882688868
2023_1101_1186,0.403476181
2023_1101_1187,0.66451615
2023_1101_1188,0.345606567
2023_1101_1189,0.838102239
2023_1101_1190,0.644337249
2023_1101_1191,0.931933177
2023_1101_1192,0.389652279
2023_1101_1193,0.716708782
2023_1101_1194,0.102890868
2023_1101_1195,0.580653088
2023_1101_1196,0.463330846
2023_1101_1197,0.937600163
2023_1101_1198,0.640566505
2023_1101_1199,0.850187507
2023_1101_1200,0.329304806
2023_1101_1201,0.78796472
2023_1101_1202,0.148144048
2023_1101_1203,0.611801853
2023_1101_1204,0.50436158
2023_1101_1205,0.425740452
2023_1101_1206,0.504002825
2023_1101_1207,0.869577658
2023_1101_1208,0.733099315
2023_1101_1209,0.744149443
2023_1101_1210,0.638203193
2023_1101_1211,0.109862359
2023_1101_1212,0.261258238
2023_1101_1213,0.196870072
2023_1101_1214,0.875723672
2023_1101_1216,0.92472198
2023_1101_1217,0.666925368
2023_1101_1218,0.386488505
2023_1101_1219,0.688176313
2023_1101_1220,0.22098524
2023_1101_1221,0.79284518
2023_1101_1222,0.064018379
2023_1101_1223,0.754712064
2023_1101_1224,0.350240351
2023_1101_1225,0.656217147
2023_1101_1226,0.718300463
2023_1101_1227,0.744630444
2023_1101_1228,0.293774487
2023_1101_1229,0.786441564
2023_1101_1230,0.735388052
2023_1101_1231,0.347385413
2023_1101_1232,0.141640496
2023_1101_1233,0.138752716
2023_1101_1234,0.414172075
2023_1101_1235,0.420805509
2023_1101_1236,0.404963684
2023_1101_1237,0.925043665
2023_1101_1238,0.758697329
2023_1101_1239,0.777033183
2023_1101_1240,0.710614872
2023_1101_1241,0.102078651
2023_1101_1242,0.265086554
2023_1101_1243,0.324651111
2023_1101_1244,0.250280251
2023_1101_1245,0.131958526
2023_1101_1246,0.395091267
2023_1101_1247,0.656952367
2023_1101_1248,0.714228864
2023_1101_1249,0.855575369
2023_1101_1250,0.635386132
2023_1101_1251,0.101132493
2023_1101_1252,0.322620196
2023_1101_1253,0.378444156
2023_1101_1254,0.930261604
2023_1101_1255,0.358097256
2023_1101_1256,0.490107033
2023_1101_1257,0.938162072
2023_1101_1258,0.569190017
2023_1101_1259,0.731051596
2023_1101_1260,0.827981299
2023_1101_1261,0.74699153
2023_1101_1262,0.107003208
2023_1101_1263,0.735578336
2023_1101_1264,0.775642084
2023_1101_1265,0.723610564
2023_1101_1266,0.211505268
2023_1101_1267,0.167569306
2023_1101_1268,0.372313882
2023_1101_1269,0.670524319
2023_1101_1270,0.78749913
2023_1101_1271,0.414890091
2023_1101_1272,0.200923383
2023_1101_1273,0.548018026
2023_1101_1274,0.363884753
2023_1101_1275,0.641000747
2023_1101_1276,0.477987227
2023_1101_1277,0.622356209
2023_1101_1278,0.903402332
2023_1101_1279,0.6841505
2023_1101_1280,0.395624549
2023_1101_1281,0.398642619
2023_1101_1282,0.794343212
2023_1101_1283,0.59561593
2023_1101_1284,0.926435423
2023_1101_1285,0.707146417
2023_1101_1286,0.236898242
2023_1101_1287,0.468109401
2023_1101_1288,0.417057227
2023_1101_1290,0.936764627
2023_1101_1291,0.721879847
2023_1101_1292,0.492707329
2023_1101_1293,0.706544868
2023_1101_1294,0.765232728
2023_1101_1295,0.595142415
2023_1101_1296,0.691123434
2023_1101_1297,0.402345203
2023_1101_1298,0.521724798
2023_1101_1299,0.68270084
2023_1101_1300,0.26339239
2023_1101_1301,0.276521855
2023_1101_1303,0.865544727
2023_1101_1304,0.697179051
2023_1101_1305,0.408987466
2023_1101_1306,0.729052479
2023_1101_1307,0.2430423
2023_1101_1308,0.786161522
2023_1101_1309,0.764601204
2023_1101_1310,0.738074509
2023_1101_1311,0.459014842
2023_1101_1312,0.859574935
2023_1101_1313,0.303394171
2023_1101_1314,0.338723402
2023_1101_1315,0.667901586
2023_1101_1316,0.713477156
2023_1101_1317,0.34940546
2023_1101_1318,0.864591851
2023_1101_1319,0.556888971
2023_1101_1320,0.616499074
2023_1101_1321,0.460732333
2023_1101_1322,0.466407712
2023_1101_1323,0.787133545
2023_1101_1324,0.718108556
2023_1101_1325,0.346728049
2023_1101_1326,0.42057671
2023_1101_1328,0.656521782
2023_1101_1329,0.486245011
2023_1101_1330,0.662706606
2023_1101_1331,0.08184033
2023_1101_1332,0.474154368
2023_1101_1333,0.845408387
2023_1101_1334,0.638130918
2023_1101_1335,0.587466819
2023_1101_1336,0.436596763
2023_1101_1337,0.695988457
2023_1101_1338,0.36567862
2023_1101_1339,0.599227377
2023_1101_1340,0.58080136
2023_1101_1341,0.542081586
2023_1101_1342,0.852320998
2023_1101_1343,0.415126408
2023_1101_1344,0.361993597
2023_1101_1345,0.239835974
2023_1101_1346,0.435367104
2023_1101_1347,0.432101116
2023_1101_1348,0.784908462
2023_1101_1349,0.521334578
2023_1101_1350,0.555747255
2023_1101_1351,0.63934099
2023_1101_1352,0.476817225
2023_1101_1353,0.279036532
2023_1101_1354,0.755135416
2023_1101_1355,0.59511737
2023_1101_1356,0.538554746
2023_1101_1357,0.536371732
2023_1101_1358,0.115744329
2023_1101_1359,0.301624555
2023_1101_1360,0.778022021
2023_1101_1361,0.29744775
2023_1101_1362,0.393443538
2023_1101_1363,0.64137491
2023_1101_1364,0.321311033
2023_1101_1365,0.405908803
2023_1101_1367,0.792727787
2023_1101_1368,0.348062425
2023_1101_1369,0.379331939
2023_1101_1370,0.424050071
2023_1101_1371,0.475032023
2023_1101_1372,0.309934064
2023_1101_1373,0.56211717
2023_1101_1374,0.760218634
2023_1101_1375,0.51517065
2023_1101_1376,0.910183284
2023_1101_1377,0.726973783
2023_1101_1378,0.556574954
2023_1101_1379,0.261388639
2023_1101_1380,0.496594346
2023_1101_1381,0.141779517
2023_1101_1382,0.664214323
2023_1101_1383,0.76680189
2023_1101_1384,0.675587798
2023_1101_1385,0.393944426
2023_1101_1386,0.562983745
2023_1101_1387,0.384856281
2023_1101_1388,0.228074521
2023_1101_1389,0.780512896
2023_1101_1390,0.559875521
2023_1101_1391,0.654284961
2023_1101_1392,0.829118676
2023_1101_1393,0.595076294
2023_1101_1394,0.219012819
2023_1101_1395,0.269107205
2023_1101_1396,0.643189041
2023_1101_1397,0.127190598
2023_1101_1398,0.418657489
2023_1101_1399,0.515987889
2023_1101_1400,0.172510092
2023_1101_1401,0.292793587
2023_1101_1402,0.608160762
2023_1101_1403,0.425246944
2023_1101_1404,0.274369588
2023_1101_1405,0.1558551
2023_1101_1406,0.408997317
2023_1101_1407,0.290526499
2023_1101_1408,0.432909669
2023_1101_1409,0.939614866
2023_1101_1410,0.496497351
2023_1101_1411,0.553426604
2023_1101_1412,0.108157278
2023_1101_1413,0.404029092
2023_1101_1414,0.183211786
2023_1101_1415,0.401097352
2023_1101_1416,0.367831977
2023_1101_1417,0.1144732
2023_1101_1418,0.258074679
2023_1101_1419,0.714265141
2023_1101_1420,0.571831127
2023_1101_1421,0.241965574
2023_1101_1422,0.312133416
2023_1101_1423,0.37149898
2023_1101_1424,0.393439164
2023_1101_1425,0.337135719
2023_1101_1426,0.698356303
2023_1101_1427,0.841177509
2023_1101_1428,0.43498394
2023_1101_1429,0.229225402
2023_1101_1430,0.170400997
2023_1101_1431,0.565057285
2023_1101_1433,0.199013674
2023_1101_1434,0.753057101
2023_1101_1435,0.572643978
2023_1101_1436,0.367598196
2023_1101_1437,0.609795562
2023_1101_1438,0.439890973
2023_1101_1439,0.608529684
2023_1101_1440,0.765708578
2023_1101_1441,0.411802275
2023_1101_1442,0.671175615
2023_1101_1443,0.548301591
2023_1101_1444,0.835603102
2023_1101_1447,0.724366815
2023_1101_1448,0.450655947
2023_1101_1449,0.622953549
2023_1101_1450,0.542653519
2023_1101_1451,0.613846315
2023_1101_1452,0.373944472
2023_1101_1453,0.972353316
2023_1101_1454,0.346937136
2023_1101_1455,0.504002653
2023_1101_1456,0.758353456
2023_1101_1457,0.686036086
2023_1101_1458,0.669080663
2023_1101_1459,0.541690916
2023_1101_1460,0.250786908
2023_1101_1461,0.799313365
2023_1101_1462,0.246355956
2023_1101_1463,0.237899038
2023_1101_1464,0.194197799
2023_1101_1465,0.440857852
2023_1101_1466,0.587867585
2023_1101_1467,0.494991017
2023_1101_1468,0.723364796
2023_1101_1469,0.442093468
2023_1101_1470,0.372208427
2023_1101_1471,0.823066057
2023_1101_1472,0.463652293
2023_1101_1473,0.734674647
2023_1101_1474,0.426496509
2023_1101_1475,0.46956855
2023_1101_1476,0.727879822
2023_1101_1477,0.670375414
2023_1102_1103,0.14114339
2023_1102_1104,0.035934661
2023_1102_1105,0.364563176
2023_1102_1106,0.76404622
2023_1102_1107,0.760843648
2023_1102_1108,0.518167787
2023_1102_1110,0.512078692
2023_1102_1111,0.204546799
2023_1102_1112,0.060649995
2023_1102_1113,0.218223748
2023_1102_1114,0.525169604
2023_1102_1115,0.453218378
2023_1102_1116,0.138435294
2023_1102_1117,0.510651314
2023_1102_1119,0.26556848
2023_1102_1120,0.21137119
2023_1102_1122,0.698920704
2023_1102_1123,0.238845226
2023_1102_1124,0.222547411
2023_1102_1125,0.23848643
2023_1102_1126,0.610004159
2023_1102_1127,0.559688613
2023_1102_1129,0.136752955
2023_1102_1130,0.530729367
2023_1102_1131,0.408560205
2023_1102_1132,0.53111919
2023_1102_1133,0.106793238
2023_1102_1135,0.534461286
2023_1102_1136,0.201024313
2023_1102_1137,0.463612824
2023_1102_1138,0.302918274
2023_1102_1139,0.528086403
2023_1102_1140,0.134246581
2023_1102_1141,0.701638942
2023_1102_1142,0.610570837
2023_1102_1143,0.869837149
2023_1102_1144,0.335070948
2023_1102_1145,0.559328983
2023_1102_1146,0.698361084
2023_1102_1148,0.60899501
2023_1102_1149,0.575122602
2023_1102_1150,0.342178801
2023_1102_1151,0.15028658
2023_1102_1152,0.607615215
2023_1102_1153,0.12390355
2023_1102_1154,0.690989794
2023_1102_1155,0.149769472
2023_1102_1156,0.221142897
2023_1102_1157,0.473172254
2023_1102_1158,0.038147921
2023_1102_1159,0.093614625
2023_1102_1160,0.212793897
2023_1102_1161,0.39095259
2023_1102_1162,0.752181707
2023_1102_1163,0.074241183
2023_1102_1164,0.745252014
2023_1102_1165,0.316816949
2023_1102_1166,0.125220383
2023_1102_1167,0.587364566
2023_1102_1168,0.215434838
2023_1102_1169,0.656200533
2023_1102_1170,0.557973837
2023_1102_1171,0.532731828
2023_1102_1172,0.395811004
2023_1102_1173,0.139635741
2023_1102_1174,0.423313678
2023_1102_1175,0.809523161
2023_1102_1176,0.483114521
2023_1102_1177,0.59725314
2023_1102_1178,0.362838829
2023_1102_1179,0.063482132
2023_1102_1180,0.268204995
2023_1102_1181,0.129698638
2023_1102_1182,0.251190129
2023_1102_1183,0.50792999
2023_1102_1184,0.146250098
2023_1102_1185,0.757733678
2023_1102_1186,0.219454091
2023_1102_1187,0.451561538
2023_1102_1188,0.180013431
2023_1102_1189,0.682725659
2023_1102_1190,0.429569089
2023_1102_1191,0.850550141
2023_1102_1192,0.209718532
2023_1102_1193,0.512583694
2023_1102_1194,0.045505121
2023_1102_1195,0.365309201
2023_1102_1196,0.264095569
2023_1102_1197,0.861989359
2023_1102_1198,0.425551372
2023_1102_1199,0.702289395
2023_1102_1200,0.169499328
2023_1102_1201,0.60703165
2023_1102_1202,0.067415731
2023_1102_1203,0.39580957
2023_1102_1204,0.297255359
2023_1102_1205,0.23557396
2023_1102_1206,0.296955657
2023_1102_1207,0.734851987
2023_1102_1208,0.533090506
2023_1102_1209,0.547307964
2023_1102_1210,0.423047661
2023_1102_1211,0.048799882
2023_1102_1212,0.12816431
2023_1102_1213,0.092471766
2023_1102_1214,0.745488613
2023_1102_1216,0.836232117
2023_1102_1217,0.454244067
2023_1102_1218,0.207518995
2023_1102_1219,0.478452946
2023_1102_1220,0.1054784
2023_1102_1221,0.61403678
2023_1102_1222,0.027645045
2023_1102_1223,0.561205203
2023_1102_1224,0.183048038
2023_1102_1225,0.44241484
2023_1102_1226,0.51454543
2023_1102_1227,0.547934217
2023_1102_1228,0.14742131
2023_1102_1229,0.604860537
2023_1102_1230,0.536008835
2023_1102_1231,0.181175937
2023_1102_1232,0.06418912
2023_1102_1233,0.062764961
2023_1102_1234,0.227129115
2023_1102_1235,0.231952965
2023_1102_1236,0.220513951
2023_1102_1237,0.836865236
2023_1102_1238,0.566528687
2023_1102_1239,0.591606685
2023_1102_1240,0.505130671
2023_1102_1241,0.04512312
2023_1102_1242,0.13038657
2023_1102_1243,0.166543204
2023_1102_1244,0.121856386
2023_1102_1245,0.059434826
2023_1102_1246,0.213524569
2023_1102_1247,0.443219346
2023_1102_1248,0.509539692
2023_1102_1249,0.71118939
2023_1102_1250,0.420077615
2023_1102_1251,0.04467861
2023_1102_1252,0.165259333
2023_1102_1253,0.201973384
2023_1102_1254,0.847207651
2023_1102_1255,0.188240919
2023_1102_1256,0.285482692
2023_1102_1257,0.863132751
2023_1102_1258,0.354503499
2023_1102_1259,0.530491044
2023_1102_1260,0.66675364
2023_1102_1261,0.551017361
2023_1102_1262,0.047445169
2023_1102_1263,0.536252079
2023_1102_1264,0.589669621
2023_1102_1265,0.521135822
2023_1102_1266,0.100315439
2023_1102_1267,0.077215058
2023_1102_1268,0.197792033
2023_1102_1269,0.458274428
2023_1102_1270,0.606367236
2023_1102_1271,0.227648876
2023_1102_1272,0.094628903
2023_1102_1273,0.335105516
2023_1102_1274,0.192104794
2023_1102_1275,0.426012613
2023_1102_1276,0.275687125
2023_1102_1277,0.40653998
2023_1102_1278,0.79539615
2023_1102_1279,0.473789873
2023_1102_1280,0.213899437
2023_1102_1281,0.216026715
2023_1102_1282,0.616201924
2023_1102_1283,0.379748034
2023_1102_1284,0.839610376
2023_1102_1285,0.500929047
2023_1102_1286,0.114294153
2023_1102_1287,0.267844844
2023_1102_1288,0.229221129
2023_1102_1290,0.86029225
2023_1102_1291,0.518980051
2023_1102_1292,0.287609709
2023_1102_1293,0.500203292
2023_1102_1294,0.575355688
2023_1102_1295,0.379285169
2023_1102_1296,0.481889906
2023_1102_1297,0.218649871
2023_1102_1298,0.311976561
2023_1102_1299,0.47211968
2023_1102_1300,0.129401693
2023_1102_1301,0.137095145
2023_1102_1303,0.727956373
2023_1102_1304,0.489014713
2023_1102_1305,0.223393066
2023_1102_1306,0.527963734
2023_1102_1307,0.117749073
2023_1102_1308,0.60446214
2023_1102_1309,0.574497404
2023_1102_1310,0.539451799
2023_1102_1311,0.260733805
2023_1102_1312,0.717868923
2023_1102_1313,0.153288837
2023_1102_1314,0.175543553
2023_1102_1315,0.455334557
2023_1102_1316,0.508619988
2023_1102_1317,0.182499754
2023_1102_1318,0.726336711
2023_1102_1319,0.343146562
2023_1102_1320,0.400559596
2023_1102_1321,0.26206879
2023_1102_1322,0.266506392
2023_1102_1323,0.605846002
2023_1102_1324,0.514308572
2023_1102_1325,0.180745985
2023_1102_1326,0.231785756
2023_1102_1328,0.442748047
2023_1102_1329,0.282340259
2023_1102_1330,0.449554818
2023_1102_1331,0.035727614
2023_1102_1332,0.272629244
2023_1102_1333,0.694487642
2023_1102_1334,0.422971266
2023_1102_1335,0.371836637
2023_1102_1336,0.24363841
2023_1102_1337,0.487607194
2023_1102_1338,0.193309171
2023_1102_1339,0.383291208
2023_1102_1340,0.365450405
2023_1102_1341,0.329792588
2023_1102_1342,0.705800273
2023_1102_1343,0.227820068
2023_1102_1344,0.190838566
2023_1102_1345,0.115942496
2023_1102_1346,0.242718085
2023_1102_1347,0.240282281
2023_1102_1348,0.602682454
2023_1102_1349,0.311640999
2023_1102_1350,0.342104735
2023_1102_1351,0.424251674
2023_1102_1352,0.274751676
2023_1102_1353,0.13858476
2023_1102_1354,0.561768607
2023_1102_1355,0.379260699
2023_1102_1356,0.326661645
2023_1102_1357,0.324733097
2023_1102_1358,0.051602122
2023_1102_1359,0.15220345
2023_1102_1360,0.592987123
2023_1102_1361,0.149652394
2023_1102_1362,0.212368222
2023_1102_1363,0.42641034
2023_1102_1364,0.164433717
2023_1102_1365,0.221188612
2023_1102_1367,0.613867408
2023_1102_1368,0.181619173
2023_1102_1369,0.202582116
2023_1102_1370,0.234330524
2023_1102_1371,0.273327769
2023_1102_1372,0.157323842
2023_1102_1373,0.347943789
2023_1102_1374,0.568572597
2023_1102_1375,0.306369491
2023_1102_1376,0.808148797
2023_1102_1377,0.525346707
2023_1102_1378,0.342859813
2023_1102_1379,0.128239812
2023_1102_1380,0.290806232
2023_1102_1381,0.064257813
2023_1102_1382,0.451226341
2023_1102_1383,0.577493253
2023_1102_1384,0.463992294
2023_1102_1385,0.21271943
2023_1102_1386,0.34874315
2023_1102_1387,0.206388334
2023_1102_1388,0.109382476
2023_1102_1389,0.596477434
2023_1102_1390,0.345881589
2023_1102_1391,0.440305904
2023_1102_1392,0.668530278
2023_1102_1393,0.379220567
2023_1102_1394,0.10439878
2023_1102_1395,0.132733179
2023_1102_1396,0.428342673
2023_1102_1397,0.057114908
2023_1102_1398,0.2303855
2023_1102_1399,0.307065283
2023_1102_1400,0.079746967
2023_1102_1401,0.146827481
2023_1102_1402,0.392155374
2023_1102_1403,0.2352106
2023_1102_1404,0.13582435
2023_1102_1405,0.071276378
2023_1102_1406,0.223400137
2023_1102_1407,0.14545814
2023_1102_1408,0.240884148
2023_1102_1409,0.866096662
2023_1102_1410,0.290726218
2023_1102_1411,0.339993449
2023_1102_1412,0.047991405
2023_1102_1413,0.219847764
2023_1102_1414,0.085287193
2023_1102_1415,0.217764154
2023_1102_1416,0.194759151
2023_1102_1417,0.050994792
2023_1102_1418,0.126325234
2023_1102_1419,0.509584111
2023_1102_1420,0.356973876
2023_1102_1421,0.117141522
2023_1102_1422,0.158689281
2023_1102_1423,0.197239084
2023_1102_1424,0.212365156
2023_1102_1425,0.174518879
2023_1102_1426,0.490409711
2023_1102_1427,0.687652388
2023_1102_1428,0.242431672
2023_1102_1429,0.110019791
2023_1102_1430,0.078664174
2023_1102_1431,0.350660767
2023_1102_1433,0.093611132
2023_1102_1434,0.559007529
2023_1102_1435,0.357736487
2023_1102_1436,0.194601508
2023_1102_1437,0.39379307
2023_1102_1438,0.246112699
2023_1102_1439,0.392524526
2023_1102_1440,0.576003157
2023_1102_1441,0.225417729
2023_1102_1442,0.459006776
2023_1102_1443,0.335360655
2023_1102_1444,0.678747408
2023_1102_1447,0.522080178
2023_1102_1448,0.254288464
2023_1102_1449,0.407153507
