ID,Pred
2023_1101_1102,0.522793346
2023_1101_1103,0.47550482
2023_1101_1104,0.2
2023_1101_1105,0.512197774
2023_1101_1106,0.564917845
2023_1101_1107,0.530398526
2023_1101_1108,0.514363797
2023_1101_1110,0.504323248
2023_1101_1111,0.557123081
2023_1101_1112,0.2
2023_1101_1113,0.519719392
2023_1101_1114,0.544211412
2023_1101_1115,0.526907323
2023_1101_1116,0.298437291
2023_1101_1117,0.543516115
2023_1101_1119,0.552060672
2023_1101_1120,0.355181488
2023_1101_1122,0.522962433
2023_1101_1123,0.533564424
2023_1101_1124,0.235278712
2023_1101_1125,0.519459474
2023_1101_1126,0.554718695
2023_1101_1127,0.543388681
2023_1101_1129,0.371451618
2023_1101_1130,0.546869964
2023_1101_1131,0.510669696
2023_1101_1132,0.540891062
2023_1101_1133,0.386636105
2023_1101_1135,0.520893711
2023_1101_1136,0.540212598
2023_1101_1137,0.547501589
2023_1101_1138,0.527586426
2023_1101_1139,0.5631029
2023_1101_1140,0.460974228
2023_1101_1141,0.55070016
2023_1101_1142,0.525849834
2023_1101_1143,0.540069049
2023_1101_1144,0.512433063
2023_1101_1145,0.551775681
2023_1101_1146,0.517623734
2023_1101_1148,0.522510101
2023_1101_1149,0.530267047
2023_1101_1150,0.478532255
2023_1101_1151,0.545938692
2023_1101_1152,0.55040287
2023_1101_1153,0.475648682
2023_1101_1154,0.555801067
2023_1101_1155,0.479442615
2023_1101_1156,0.504349782
2023_1101_1157,0.553168698
2023_1101_1158,0.373279753
2023_1101_1159,0.504723237
2023_1101_1160,0.494006936
2023_1101_1161,0.539406212
2023_1101_1162,0.568821721
2023_1101_1163,0.2
2023_1101_1164,0.536512987
2023_1101_1165,0.548486357
2023_1101_1166,0.32626344
2023_1101_1167,0.527563398
2023_1101_1168,0.538750629
2023_1101_1169,0.535923938
2023_1101_1170,0.542608305
2023_1101_1171,0.543402695
2023_1101_1172,0.533483982
2023_1101_1173,0.476950769
2023_1101_1174,0.518109937
2023_1101_1175,0.542188058
2023_1101_1176,0.53393219
2023_1101_1177,0.532719956
2023_1101_1178,0.56107882
2023_1101_1179,0.357357836
2023_1101_1180,0.521328822
2023_1101_1181,0.219294112
2023_1101_1182,0.477771691
2023_1101_1183,0.543623113
2023_1101_1184,0.496597113
2023_1101_1185,0.547442151
2023_1101_1186,0.526341562
2023_1101_1187,0.520228877
2023_1101_1188,0.523714475
2023_1101_1189,0.568433689
2023_1101_1190,0.538528112
2023_1101_1191,0.539278227
2023_1101_1192,0.491952831
2023_1101_1193,0.554739213
2023_1101_1194,0.317797544
2023_1101_1195,0.533039748
2023_1101_1196,0.496139067
2023_1101_1197,0.526697487
2023_1101_1198,0.520289407
2023_1101_1199,0.525476175
2023_1101_1200,0.446488286
2023_1101_1201,0.52602987
2023_1101_1202,0.496681194
2023_1101_1203,0.52782312
2023_1101_1204,0.522842593
2023_1101_1205,0.514665341
2023_1101_1206,0.526790744
2023_1101_1207,0.528315238
2023_1101_1208,0.546491637
2023_1101_1209,0.533281388
2023_1101_1210,0.545213361
2023_1101_1211,0.2
2023_1101_1212,0.49029
2023_1101_1213,0.588210978
2023_1101_1214,0.560402983
2023_1101_1216,0.5518423
2023_1101_1217,0.528307393
2023_1101_1218,0.502273994
2023_1101_1219,0.512629946
2023_1101_1220,0.439450436
2023_1101_1221,0.556364865
2023_1101_1222,0.2
2023_1101_1223,0.531923453
2023_1101_1224,0.593694021
2023_1101_1225,0.522622196
2023_1101_1226,0.513485216
2023_1101_1227,0.533176271
2023_1101_1228,0.327518597
2023_1101_1229,0.540079547
2023_1101_1230,0.532334806
2023_1101_1231,0.298633778
2023_1101_1232,0.469455338
2023_1101_1233,0.433967904
2023_1101_1234,0.44166512
2023_1101_1235,0.306214151
2023_1101_1236,0.539363004
2023_1101_1237,0.543336123
2023_1101_1238,0.541554683
2023_1101_1239,0.530510799
2023_1101_1240,0.544785735
2023_1101_1241,0.476723722
2023_1101_1242,0.2
2023_1101_1243,0.249594856
2023_1101_1244,0.520415282
2023_1101_1245,0.410576081
2023_1101_1246,0.346622043
2023_1101_1247,0.541677565
2023_1101_1248,0.541086893
2023_1101_1249,0.555507906
2023_1101_1250,0.567058228
2023_1101_1251,0.363164095
2023_1101_1252,0.522627087
2023_1101_1253,0.516923083
2023_1101_1254,0.554974897
2023_1101_1255,0.468833256
2023_1101_1256,0.497629159
2023_1101_1257,0.562445664
2023_1101_1258,0.519346083
2023_1101_1259,0.537165305
2023_1101_1260,0.521227168
2023_1101_1261,0.526285331
2023_1101_1262,0.400259204
2023_1101_1263,0.537195544
2023_1101_1264,0.548448232
2023_1101_1265,0.550003073
2023_1101_1266,0.2
2023_1101_1267,0.432975235
2023_1101_1268,0.334105407
2023_1101_1269,0.517841967
2023_1101_1270,0.535460326
2023_1101_1271,0.529487618
2023_1101_1272,0.42073313
2023_1101_1273,0.523159749
2023_1101_1274,0.354044294
2023_1101_1275,0.507929
2023_1101_1276,0.492834183
2023_1101_1277,0.410343082
2023_1101_1278,0.567659367
2023_1101_1279,0.528449309
2023_1101_1280,0.45196247
2023_1101_1281,0.402663628
2023_1101_1282,0.503744591
2023_1101_1283,0.519279232
2023_1101_1284,0.532996009
2023_1101_1285,0.511284277
2023_1101_1286,0.528884775
2023_1101_1287,0.536793373
2023_1101_1288,0.536996133
2023_1101_1290,0.540353757
2023_1101_1291,0.570818765
2023_1101_1292,0.483830228
2023_1101_1293,0.558047241
2023_1101_1294,0.541724132
2023_1101_1295,0.534332609
2023_1101_1296,0.545478408
2023_1101_1297,0.567461164
2023_1101_1298,0.461056917
2023_1101_1299,0.561295339
2023_1101_1300,0.480347588
2023_1101_1301,0.34530623
2023_1101_1303,0.56147384
2023_1101_1304,0.559905531
2023_1101_1305,0.459724391
2023_1101_1306,0.55070382
2023_1101_1307,0.508819898
2023_1101_1308,0.521873512
2023_1101_1309,0.536248614
2023_1101_1310,0.527013973
2023_1101_1311,0.49141826
2023_1101_1312,0.55717012
2023_1101_1313,0.491541355
2023_1101_1314,0.485600976
2023_1101_1315,0.532711734
2023_1101_1316,0.52394439
2023_1101_1317,0.449135045
2023_1101_1318,0.550121141
2023_1101_1319,0.492585703
2023_1101_1320,0.524182901
2023_1101_1321,0.359063852
2023_1101_1322,0.509843123
2023_1101_1323,0.556181501
2023_1101_1324,0.536449189
2023_1101_1325,0.511730158
2023_1101_1326,0.506903512
2023_1101_1328,0.55184275
2023_1101_1329,0.518245928
2023_1101_1330,0.518379765
2023_1101_1331,0.358632534
2023_1101_1332,0.495340571
2023_1101_1333,0.529414751
2023_1101_1334,0.560777218
2023_1101_1335,0.527519499
2023_1101_1336,0.438298372
2023_1101_1337,0.523239558
2023_1101_1338,0.471955403
2023_1101_1339,0.547380002
2023_1101_1340,0.484448823
2023_1101_1341,0.520829823
2023_1101_1342,0.523069138
2023_1101_1343,0.565555877
