Favorite,Seed_Favorite,Underdog,Seed_Underdog,Round,Mean,Median,aw,bb,bb2,bspn,ddd,ddd2,ddg,experts,gq,kake,kake2,log,maria,maria2,ml,raaa,tpp,tra,wts
Alabama,1,TAM C. Christi,16,1,0.9406100333451983,0.96852,0.979560626,0.978545705630327,0.918122204600798,0.927011864,0.757712595,0.8,0.974935978,0.96852,0.9702336974,0.989096124,0.989096124,0.9401553695399545,0.948309,0.953979,0.8881947823876893,0.969386072,0.999925758,0.968805733,0.95
Houston,1,N Kentucky,16,1,0.9231589024673507,0.9423835977716958,0.979015903,0.939506055774841,0.885964896178394,0.875422576,0.907771436,1,0.988089714,0.959076,0.6629919431,0.987206287,0.987206287,0.8859696970547322,0.81892,0.914315,0.9423835977716958,0.975987501,0.999999777,0.880192476,0.95
Kansas,1,Howard,16,1,0.9352318463615763,0.961627166,0.964310162,0.9354987979063558,0.8607958730516,0.975926798,0.5990992660000001,1,0.961827163,0.965543,0.95190174855,0.984596335,0.984596335,0.9278542049389112,0.967962,0.956006,0.9510344294230818,0.961627166,0.877846361,0.992979441,0.95
Purdue,1,F Dickinson,16,1,0.9463266579261624,0.980138,0.989163204,0.99025615646211,0.872339913544095,0.965292352,0.669252219,0.8,0.989502251,0.980138,0.9503841532,0.995186887,0.995186887,0.9535792077273118,0.955885,0.983661,0.9584557603635693,0.986815408,0.9999999543,0.995108147,0.95
Arizona,2,Princeton,15,1,0.8835820603946121,0.89651,0.926340585,0.922127455005982,0.838318533972904,0.894758192,0.820451164,0.8,0.920526341,0.89651,0.9737436957,0.934184655,0.934184655,0.8697176908394604,0.890449,0.877958,0.8137523389792832,0.910328405,0.685653173,0.929055263,0.95
Marquette,2,Vermont,15,1,0.829634873188526,0.890614,0.921011336,0.332770722368313,0.490361194277552,0.831790227,0.684243249,0.8,0.899954242,0.875792,0.7995845791,0.922778841,0.922778841,0.882210423467095,0.92161,0.890614,0.8013967233690344,0.896425629,0.982114209,0.957626374,0.95
Texas,2,Colgate,15,1,0.8923726912263662,0.907067,0.962522511,0.9264271948701873,0.801615181977,0.891650858,0.543765709,0.8,0.891496589,0.907067,0.8652803958999999,0.963368676,0.963368676,0.9064433246120258,0.938016,0.901216,0.8739960661417451,0.91346581,0.9999999888,0.955381152,0.95
UCLA,2,UNC Asheville,15,1,0.9059450438064233,0.944878,0.964463718,0.766587832117331,0.85400235109336,0.968200463,0.711752067,0.8,0.966548027,0.944878,0.9090539525,0.985239299,0.985239299,0.8494996111726889,0.86779,0.887374,0.883607590438662,0.954021559,0.999999348,0.964698715,0.95
Baylor,3,UC Santa Barbara,14,1,0.7465656992986098,0.787304186,0.885381358,0.701195662992076,0.723033300633778,0.806993795,0.407401088,0.8,0.786959555,0.834851,0.5779530321,0.894603263,0.894603263,0.8816580553039581,0.773634,0.757773,0.7246397646437743,0.837413781,0.159350182,0.787304186,0.95
Gonzaga,3,Grand Canyon,14,1,0.8237871197057071,0.848683019,0.89643691700000006,0.704046487972273,0.723986306516791,0.848683019,0.665115559,0.8,0.923082178,0.897742,0.602096927,0.913522021,0.913522021,0.8180649962927902,0.815912,0.837259,0.8628551146265804,0.904249927,0.661696372,0.913684428,0.95
