Favorite,Seed_Favorite,Underdog,Seed_Underdog,Log_Pred
Indiana,1,Monmouth NJ,16,0.9947118495874926
Indiana,1,Tennessee Tech,16,0.9919908427261686
South Carolina,1,Norfolk St,16,0.999082643658441
Stanford,1,Sacred Heart,16,0.9988073447281278
Stanford,1,Southern Univ,16,0.9971969800398786
Virginia Tech,1,Chattanooga,16,0.9889357392783767
Connecticut,2,Vermont,15,0.9941431166006672
Iowa,2,SE Louisiana,15,0.992557835970119
Maryland,2,Holy Cross,15,0.9859094784593682
Utah,2,Gardner Webb,15,0.973955905045036
Duke,3,Iona,14,0.977616355634916
LSU,3,Hawaii,14,0.9712891694922663
Ohio St,3,James Madison,14,0.945455498514531
Tennessee,4,St Louis,13,0.9614516769181499
Texas,4,East Carolina,13,0.9630386971325835
UCLA,4,CS Sacramento,13,0.9341282542455771
Villanova,4,Cleveland St,13,0.861166217781552
Iowa St,5,Toledo,12,0.8914979282158788
Louisville,5,Drake,12,0.8773708953072392
Oklahoma,5,Portland,12,0.8010456960065618
Washington St,5,FL Gulf Coast,12,0.6968980989185812
Colorado,6,MTSU,11,0.7083755537770063
Creighton,6,Mississippi St,11,0.6893558827103603
Michigan,6,UNLV,11,0.8238894167307322
North Carolina,6,Purdue,11,0.7742380137203634
North Carolina,6,St John's,11,0.8876052889641974
Arizona,7,West Virginia,10,0.6688720565148413
Baylor,7,Alabama,10,0.6629868008810805
Florida St,7,Georgia,10,0.4717162554982486
NC State,7,Princeton,10,0.789607626944494
Mississippi,8,Gonzaga,9,0.6802924432374219
Oklahoma St,8,Miami FL,9,0.4514419357045011
South Florida,8,Marquette,9,0.47092604540875527
USC,8,S Dakota St,9,0.5136001638823491
