Name_A,Arizona,Arizona St,Arkansas,Auburn,Baylor,Boise St,Col Charleston,Colgate,Connecticut,Creighton,Drake,Duke,F Dickinson,FL Atlantic,Furman,Gonzaga,Grand Canyon,Houston,Howard,Illinois,Indiana,Iona,Iowa,Iowa St,Kansas,Kansas St,Kennesaw,Kent,Kentucky,Marquette,Maryland,Memphis,Miami FL,Michigan St,Mississippi St,Missouri,Montana St,N Kentucky,NC State,Nevada,Northwestern,Oral Roberts,Penn St,Pittsburgh,Princeton,Providence,Purdue,San Diego St,UC Santa Barbara,SE Missouri St,St Mary's CA,TAM C. Christi,TCU,Tennessee,Texas,Texas A&M,TX Southern,UCLA,Louisiana,UNC Asheville,USC,Utah St,VCU,Vermont,Virginia,West Virginia,Xavier
Alabama,0.5894256983051206,0.838744736400969,0.7292748151691779,0.7410991882585805,0.6775973914325016,0.7830020633878879,0.7476635915355907,0.832500355870197,0.5142767733751099,0.6092236169457281,0.8025171056429923,0.6731619228440683,0.9490797926515284,0.6863741479644664,0.7853642202622312,0.45501323539681193,0.8758613055819898,0.2784114732613535,0.9192785506508224,0.7155351679526711,0.6862313492256352,0.7746127226222587,0.7208632140257061,0.7007326381114118,0.6008782418500304,0.6930678483496961,0.8323267550492596,0.8049529290551416,0.6266328759474707,0.586664532265049,0.7212035992922593,0.7223007922293737,0.6504378582897326,0.786380656802606,0.8013246193609793,0.7590655697309483,0.8597633701304911,0.9085425063020168,0.7362835417386138,0.8040264576971337,0.712327206384551,0.7751321189776595,0.881394249306087,0.8010708359555018,0.8606196384414733,0.752709856601277,0.5347520074867425,0.6732052428845844,0.8131042086753674,0.9300831996639596,0.5875157710119328,0.8881947823876893,0.6563663804868796,0.5530266899740011,0.5368663017975378,0.6755356231107317,0.949700064183286,0.3669129582159007,0.8086063164813216,0.8500306884295624,0.7647110492850281,0.7009416145585966,0.7776144867022673,0.8357973091280192,0.6608054849181542,0.7402549046754793,0.6100802702655205
Arizona,NA,0.8021637367600704,0.6505038347227623,0.6735603125641518,0.5979962710381701,0.7245143975145485,0.7143643000146845,0.7652093581602625,0.4011880718304585,0.5491503174627224,0.7025236564124783,0.6187458890348873,0.9271090117758491,0.677429134082646,0.7125011987630381,0.35861467004400416,0.8269209634550053,0.2043996918172879,0.8945231073554634,0.6572796271206056,0.6348162426884674,0.723335067161578,0.6304953388692912,0.6217274288521359,0.47117788613527306,0.6102114770432291,0.7927673102345629,0.7534631533281325,0.5704599531882669,0.5200808966702716,0.665727743782665,0.6745600132682016,0.6049680661936302,0.7108017441131959,0.76340458970935,0.6935032347361602,0.840294449781664,0.8838517600186157,0.7184130575236629,0.7740459616761499,0.6843338928046552,0.7630737656922952,0.8223179835928126,0.7584169149734906,0.8137523389792832,0.7063112471684879,0.4000853986666753,0.6063757904038156,0.8115536374733097,0.908413178593876,0.4607232370602826,0.8584124765382823,0.5988789724019015,0.4158251185923992,0.4084917464925499,0.6120793831846073,0.942509658203232,0.32688278767592727,0.7635601089551091,0.7877119229851686,0.7151283235524369,0.6667184559336944,0.6799353686010812,0.7968965164355956,0.5639857168058011,0.6925397028089022,0.5578919943678723
Arizona St,NA,NA,0.2794076528632365,0.2900510272637381,0.24410754921860248,0.39624796370213494,0.3823145419179446,0.5162841475041059,0.15497741451933297,0.2232045520326386,0.3456991731597015,0.23259038498580387,0.7486312015354649,0.28866324917212194,0.43815550379031776,0.131170387278065,0.6139213497889215,0.06679529018966031,0.7824227818649075,0.27369036247500445,0.2767693599329294,0.3910518074334984,0.30147087134767026,0.2725312827259488,0.19293298234098977,0.22797054585329493,0.6281233537301605,0.47190319065141095,0.1915150538830505,0.1856653525205435,0.266578576686552,0.2653830545732002,0.2679612699225431,0.2991916982285621,0.396164357888422,0.33598127870340877,0.6328260437754437,0.6870412425420992,0.3148041584476376,0.4220581928523368,0.3442047910989608,0.4087723378268267,0.5115006918325105,0.43234511941341,0.5999464932204042,0.31984112513223195,0.14305019233151886,0.2133976960015456,0.5756874538100697,0.8073336545630159,0.17171660168324013,0.6372245263482365,0.21745380679479911,0.15011586971038243,0.16812699213437285,0.23278983741774165,0.881690088885932,0.11194483329085014,0.4194778966339403,0.6117294859000678,0.33029827350691215,0.3152059451647134,0.33257668284966135,0.5473507444276893,0.23222703895401073,0.3028799358254892,0.24253510470152864
Arkansas,NA,NA,NA,0.52955873956741,0.39331878580038654,0.5665099090786847,0.5424602638421844,0.7111153783681502,0.2562464587181561,0.35550086716615775,0.6337642902545201,0.4368458051389125,0.8949409402120939,0.45067046945359335,0.5654268032763485,0.22905920396883325,0.7616504840778356,0.11343257785415994,0.8423375935521399,0.4896107517063083,0.4658043099712973,0.5995943805218137,0.5469777938291748,0.498672262597756,0.3316690033328426,0.41698339296048553,0.742781423831012,0.6626609479795629,0.34320997139361986,0.3351486777848171,0.4428092782962848,0.44972369024129233,0.47648941821907975,0.5794044380250286,0.6114825160153946,0.4843923768910243,0.7312862629390677,0.8031263486388691,0.4971069497029393,0.6522250701214001,0.48473613577983465,0.5941288615086731,0.7133184877127855,0.6105997866612067,0.737022173248187,0.4822744487450578,0.24558361015652735,0.38221887091571055,0.6793242945707372,0.8486415667792182,0.321376018409619,0.8166507834316779,0.44456844799206213,0.25730775042003795,0.28702488614959226,0.46041689175030354,0.9120262237392408,0.19319841450863556,0.649760814616521,0.7311115718844595,0.5106880515629534,0.4685220386743517,0.5701442304087116,0.6545039243121501,0.43969017381467534,0.47615908931663936,0.3748441747003118
Auburn,NA,NA,NA,NA,0.32686812691001105,0.49167179445959935,0.4427779617077696,0.5734903227152639,0.2327104959363125,0.2813967609954436,0.5233217882821325,0.31533991636062164,0.8441848555793469,0.35914300588908527,0.5396859873300488,0.18086988181138045,0.7316024306170004,0.09221636637967494,0.8058414485970296,0.44536819229997976,0.3817198474879644,0.51886466619128,0.40290913199018286,0.3523291686636349,0.26294559127164674,0.3030371617514132,0.6409167846851299,0.5792107573006499,0.28102047174665135,0.2414825253065772,0.39549375920906793,0.4074063700541627,0.3802048882346325,0.4535712371427751,0.4682384446920379,0.4519381873321246,0.6731017589275512,0.7451391497407877,0.4252028659389373,0.5410824035605554,0.46253357159012787,0.47372667384041006,0.6053418679728283,0.5111991417876597,0.6379542720203272,0.42503195710482405,0.19637936610285547,0.311553762066509,0.650180388794904,0.8004557484480744,0.2254873520909743,0.775115439622436,0.3573313832510362,0.22696081584468528,0.20413138734683223,0.32769914004388817,0.8749515765213792,0.1536863558067024,0.5627430011402639,0.6805566598718114,0.44659584804948854,0.4134550273290716,0.4984987533518512,0.6335895656594568,0.3754486437597489,0.4107504457034109,0.27827657374682463
Baylor,NA,NA,NA,NA,NA,0.6482592724454006,0.5739592625569286,0.7169083557124555,0.34390296989497166,0.4451093605051593,0.6319008810916642,0.5447259446465059,0.9070901961390044,0.5450336094308076,0.6549721698686627,0.3032693102475555,0.7903438002358515,0.17871398927921228,0.8764551587511484,0.5624909499662734,0.5214826861514978,0.6465930249233163,0.5396770335850162,0.5574706034718956,0.389134658535532,0.49253304337795056,0.7495261318001281,0.6938462197255802,0.4756796228342303,0.4160877413266417,0.5560345698977408,0.6046775388364569,0.5152898995277776,0.6574023842404465,0.63954875045162,0.6313989456784153,0.8229941783300742,0.8367742408652762,0.6283740403419885,0.6883252429068768,0.5561716157423049,0.6821616086719472,0.7487045612654981,0.6988373736666464,0.7626722894657543,0.5882757297181352,0.3194804088916514,0.4666517306329099,0.7246397646437743,0.8886772881443602,0.3661355523517316,0.8089228643070573,0.5148196524536661,0.31835533194742965,0.3445621777683377,0.49389526452769944,0.9365312371824578,0.2591622596184115,0.6882313614263813,0.7585121114559228,0.6352734714380088,0.6040096879810481,0.6328758696008241,0.728854674642441,0.5068550169829382,0.5950454663268346,0.4495253920091392
Boise St,NA,NA,NA,NA,NA,NA,0.4514049628444649,0.5972225692876377,0.19573331843086253,0.240102325618762,0.4768102140616488,0.2823914707044015,0.8169873710390705,0.3325230680996216,0.4794248468790326,0.1625150757294361,0.7367108045561437,0.07859128545120198,0.8312928098764537,0.3345978854325808,0.3714540500115886,0.44672925282776627,0.3919649697688768,0.3829434081089933,0.2274119010706635,0.28307867633967515,0.6681599754171731,0.5656838128945125,0.26639895240435973,0.21403680941494524,0.3660570758960033,0.3748438437544456,0.3487312800129224,0.37447353974212944,0.49952451354894534,0.40067106118728,0.6952994452669183,0.7189854702381427,0.40108105017473966,0.5441312636382636,0.421241639857328,0.4812395929544416,0.6331542721235603,0.5352870133222558,0.6672683116457168,0.38049510543589815,0.18563797373089705,0.3062608356199713,0.6417679224250785,0.8507440922799215,0.2205147128678374,0.7586846259815963,0.30747398545488003,0.19746548328863625,0.22225686620182172,0.3437623320165379,0.8848293022125647,0.13534981537621002,0.5762564393086218,0.6422126439910556,0.3901001927537739,0.3412650635241209,0.4324845909715248,0.5803350140973623,0.2816169257974056,0.3856212395544654,0.29904073611625687
Col Charleston,NA,NA,NA,NA,NA,NA,NA,0.6525528148041456,0.2537558714360558,0.34664902844951795,0.5033950097322236,0.3839385840006291,0.8897160258478575,0.4492106252159645,0.5928393168716883,0.21649976765174295,0.7697133926752421,0.10826389920995824,0.8755157075872901,0.41248967316298546,0.3575202603350467,0.548637583758673,0.4321118580416251,0.38967513471999904,0.2458650893679469,0.3303885942187602,0.6973402720006752,0.6076020904216093,0.32364012149896276,0.29671092913171726,0.4472915497252498,0.42214081196481534,0.36288733451407645,0.45732506315449306,0.5476431986508014,0.48126926724873614,0.7089071236450696,0.7949708840577305,0.4358896538197268,0.570403063043814,0.47625309497637774,0.5545230317448765,0.6078299474707539,0.5812114872129254,0.7227962337037404,0.46848088627987233,0.23101590991424592,0.32731675731119053,0.6962853498050995,0.904095511099152,0.25867674854080597,0.7969931728009891,0.33458253655443476,0.26348502285698167,0.2037176542792899,0.35939133983990473,0.9237728806873952,0.15423346664011753,0.6471522730563717,0.724257405141566,0.5012818859524326,0.4541840952228249,0.4965726146141068,0.6944948474673956,0.3300354067981582,0.4220354125166599,0.3197975278894066
Colgate,NA,NA,NA,NA,NA,NA,NA,NA,0.12910051101633907,0.20724272910226765,0.3220536116050438,0.21057584375132413,0.8186124157743893,0.23027162644046703,0.3767708397810576,0.10593656838864952,0.6202518141475591,0.07124548636219506,0.76132698569015,0.2912783410534635,0.25815802709863017,0.33408703872881423,0.28711783284760334,0.2591589735484701,0.1454144715179409,0.2016371818632414,0.506082796513283,0.3793921209510824,0.1980536717675033,0.15047778399840758,0.3102576591258856,0.28380036014695836,0.2146371628013712,0.3240569551648567,0.3024798042958144,0.2791914681501567,0.5203690471489026,0.6358089079694136,0.24395330844572016,0.384094082762045,0.25916758942121104,0.34103772512352926,0.38203229512793074,0.3505661184988279,0.5468178711612172,0.251653318656591,0.10918730131936454,0.1994114808596076,0.46525774740110626,0.8230094321478928,0.14679137216401797,0.6362399212625889,0.24665372216398035,0.12541403081034289,0.1260039338582549,0.25957325817347443,0.8490524450460178,0.10012766449820158,0.4093390297345079,0.6051610612851392,0.2888192953871335,0.26492767347113455,0.2724281700554763,0.5080389471581569,0.20228331359161844,0.2690597670069155,0.22529664195994625
Connecticut,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5714519720141876,0.77791228497013,0.6413920616132558,0.923580801080916,0.6912657747403594,0.7468720909534841,0.4252365895997674,0.8825693131421626,0.2680104618510421,0.9167369786560132,0.7085805374756666,0.7284148085016011,0.7618663763548059,0.7282665919276313,0.6959185400365061,0.5771280800279158,0.666015058553392,0.8299049390868548,0.8013163276635615,0.6313152213363592,0.5621699129221085,0.715891705572194,0.694880462297717,0.670133901359959,0.7522881444097756,0.8368801052391766,0.7403923779410777,0.8510428923359697,0.8775240383158118,0.7295149808412504,0.8015383632976031,0.7347257474427736,0.7512905488882429,0.8464785716199482,0.8105462337985703,0.8379378357234945,0.73142262837305,0.4827628559734997,0.6899382975911122,0.8212262039102984,0.9038138030453864,0.5351315634631618,0.8547040786109077,0.6669608544580721,0.5195238624371409,0.5361503640176891,0.69085305748071,0.9382704159188264,0.3645519253178533,0.7940823257883672,0.835379229129641,0.7607610029011731,0.6869680161654594,0.7374402234219932,0.81484596451167,0.6118459296762384,0.7343551355446595,0.6319017686483124
