Favorite,Seed_Favorite,Underdog,Seed_Underdog,ML_Pred
Alabama,1,TAM C. Christi,16,0.8881947823876893
Houston,1,N Kentucky,16,0.9423835977716958
Kansas,1,Howard,16,0.9510344294230818
Purdue,1,F Dickinson,16,0.9584557603635693
Arizona,2,Princeton,15,0.8137523389792832
Marquette,2,Vermont,15,0.8013967233690344
Texas,2,Colgate,15,0.8739960661417451
UCLA,2,UNC Asheville,15,0.883607590438662
Baylor,3,UC Santa Barbara,14,0.7246397646437743
Gonzaga,3,Grand Canyon,14,0.8628551146265804
Kansas St,3,Montana St,14,0.7811876582576466
Xavier,3,Kennesaw,14,0.8635208007524355
Connecticut,4,Iona,13,0.7618663763548059
Indiana,4,Kent,13,0.6525244023141044
Tennessee,4,Louisiana,13,0.7886037785005635
Virginia,4,Furman,13,0.7443252093990791
Duke,5,Oral Roberts,12,0.6728488064005613
Miami FL,5,Drake,12,0.6344240942343593
San Diego St,5,Col Charleston,12,0.6726832426888094
St Mary's CA,5,VCU,12,0.6992848003612995
Creighton,6,NC State,11,0.5838532909922127
Iowa St,6,Pittsburgh,11,0.5416950472143967
Kentucky,6,Providence,11,0.4881637430623218
TCU,6,Arizona St,11,0.7825461932052009
Michigan St,7,USC,10,0.49629072748207537
Missouri,7,Utah St,10,0.41397742494077944
Northwestern,7,Boise St,10,0.578758360142672
Texas A&M,7,Penn St,10,0.7741936384138899
Arkansas,8,Illinois,9,0.4896107517063083
Iowa,8,Auburn,9,0.5970908680098171
Maryland,8,West Virginia,9,0.4154899425379637
Memphis,8,FL Atlantic,9,0.5203718913888997
