Name_A,Arizona,Baylor,Chattanooga,Cleveland St,Colorado,Connecticut,Creighton,CS Sacramento,Drake,Duke,East Carolina,FL Gulf Coast,Florida St,Gardner Webb,Georgia,Gonzaga,Hawaii,Holy Cross,Illinois,Indiana,Iona,Iowa,Iowa St,James Madison,Louisville,LSU,Marquette,Maryland,Miami FL,Michigan,Mississippi,Mississippi St,Monmouth NJ,MTSU,NC State,Norfolk St,North Carolina,Notre Dame,Ohio St,Oklahoma,Oklahoma St,Portland,Princeton,Purdue,S Dakota St,Sacred Heart,SE Louisiana,South Carolina,South Florida,Southern Univ,Southern Utah,St John's,St Louis,Stanford,Tennessee,Tennessee Tech,Texas,Toledo,UCLA,UNLV,USC,Utah,Vermont,Villanova,Virginia Tech,Washington St,West Virginia
Alabama,0.5535853774331578,0.5143713920607073,0.8439124087220121,0.1910420680963784,0.20348062782545687,0.06301496462767367,0.5510031885346498,0.8147681512323273,0.6335262612443731,0.09904884015141437,0.4994436756170243,0.5917188190574771,0.1967453201624242,0.6124583137689268,0.3884352861100598,0.8114297893457671,0.8902740203546274,0.7704127289507322,0.8446820323950344,0.06826562339107539,0.7329953556328843,0.4320100111156773,0.5017888522404497,0.4045129812879024,0.15286212931013213,0.04071032278332742,0.701205087328068,0.3996356601698723,0.5521627790379989,0.6046254767934048,0.09888303968875256,0.30605307005484317,0.9796835075452752,0.7757163032164273,0.4536964403615466,0.8454045911475047,0.18416874643160908,0.13993291881659012,0.27318018683886375,0.5972775647714703,0.8287800697332097,0.8765077213521718,0.4714617250426415,0.8107469309730652,0.47050187436813445,0.932088726487226,0.578025700943092,0.00702490184718407,0.47913079440378414,0.9455231123861484,0.7031385742065355,0.7631338028459966,0.8537103668714033,0.07075480479637512,0.09988214624011184,0.9369202924594002,0.06252818368318497,0.5916840280135726,0.26079434562571574,0.8086500354031566,0.370598909014068,0.4916646961754685,0.6998392316026317,0.10152154202875192,0.2959396930398099,0.3778033961498633,0.5793685519252643
Arizona,NA,0.3328956355741422,0.9718000969383744,0.46422171387361055,0.19405618057913432,0.06391337212909484,0.6440219851240883,0.9016351564242024,0.6980526141944368,0.22245681167089823,0.8420275983125445,0.6592960259704735,0.2041726707204708,0.9046329247543128,0.4686559671973759,0.7067730130477414,0.96055448857223,0.9449622657507916,0.7330652509144558,0.0396877315320399,0.8546755406347241,0.3491941924699199,0.4491973662274971,0.773701929321654,0.15543438562352888,0.08336530695856889,0.4646138378338567,0.25109565157485114,0.572016010365302,0.5952920424032744,0.21217980101700415,0.2630173384103078,0.9867551235602956,0.501169312351164,0.4702752062252626,0.9726426710706908,0.29765815329039846,0.13862320235635167,0.24876116838551504,0.6795204198178197,0.7755420832033459,0.9336397611743992,0.4397367999688571,0.7632485448773092,0.5500020675265572,0.9715168161046696,0.8715644196184975,0.00674801292525222,0.3850209453940923,0.9917905727430226,0.952121466849137,0.765799396268306,0.9596641279447832,0.06238475635788374,0.16371626808730896,0.9550373665380684,0.14368144141988828,0.7785051787565372,0.22651047876738445,0.615067658918532,0.30734735859226464,0.4399577983275834,0.8637374411663608,0.18414436920137733,0.2681903705942937,0.4703671902878402,0.7201461498844369
Baylor,NA,NA,0.9802036488532276,0.641490956757953,0.32142347484741124,0.07362142008440549,0.7193535539879043,0.9015415206197872,0.8620707872929262,0.27956226141001045,0.8059419171956941,0.7606751280850004,0.3736331225118986,0.9294728993492464,0.6321487228664162,0.8025849117418362,0.9629148794986332,0.9418066488767944,0.8181415577656884,0.1651113795629939,0.9265235960521016,0.4188410270696664,0.5953288181567902,0.8157565471374785,0.311661204479209,0.1489413283425726,0.6189602051439186,0.49889534934502666,0.6704873278998091,0.6960086774348382,0.3334614211562001,0.5399752049954659,0.9888894182568604,0.7444608542110217,0.6202540564689937,0.9577647078596327,0.4450129515352266,0.30719559569265675,0.5382728828690944,0.7775167082802062,0.6970120978647601,0.9487412966921558,0.6131280543414407,0.7489036787423482,0.6909699845600594,0.9835438732959032,0.8948582769056589,0.0148652888900628,0.5686817270092326,0.9925935877058424,0.9304574346247636,0.8202880333099664,0.9472289689264136,0.10957121250521248,0.2166843943765685,0.9788037830277088,0.1915368401630939,0.8515615038379241,0.44219139116845135,0.8069148373835123,0.5902872347189614,0.5592153077764965,0.8327172941711494,0.39625746101226306,0.377730733703574,0.5541322588385126,0.7069116094358677
Chattanooga,NA,NA,NA,0.07468100551802796,0.00727485744229259,0.00271764405599077,0.01302505535898046,0.27773505923526726,0.07982597242623118,0.00705318107458871,0.2858105168268125,0.06223799525977724,0.01081689101550346,0.2509427979693188,0.03560807023165669,0.02280366309932376,0.490091090696424,0.5746309971617822,0.0338308653508587,0.00577762134335235,0.33035033082441273,0.01555072255605182,0.00670012044066447,0.11436632629226584,0.00496458405570369,0.00379484933918804,0.01589408895017127,0.00979563043742518,0.00797497729723555,0.00967881090305203,0.00584163940186645,0.03429638984624263,0.5314432705480381,0.0958239680425031,0.00486452759667133,0.7802307605685862,0.0155385231203476,0.00349999495808616,0.00588762611958255,0.03925729268421546,0.02645531473826487,0.16817922343304925,0.03360820733787086,0.03338045875902101,0.05940460177889723,0.8822265751469638,0.42732599654223535,0.00133704997869642,0.01577471581231663,0.9115678554455576,0.22960983810590543,0.03533316282275149,0.373289895008841,0.00428866514136272,0.00737348845077789,0.249544436125599,0.00207257753682139,0.05224186503045735,0.00909609484837766,0.0428468286592771,0.01430717737693112,0.0102163142555882,0.14998733134436024,0.00563093966625266,0.00930454775524601,0.02367713276656379,0.07101132200970545
Cleveland St,NA,NA,NA,NA,0.06692990220371546,0.02902185008178191,0.09052675773384838,0.7376369326377286,0.3956042177589238,0.04225071393045966,0.8125432110550806,0.219481011091532,0.0793667682795511,0.5113837570791331,0.2327614220800928,0.17296551261938423,0.901290620756886,0.8617196233470289,0.24047050070817916,0.06315295300397722,0.7400587222113804,0.11669864249720877,0.0706712205747852,0.4705302512580586,0.04092693829348141,0.01366378592024367,0.1130263271737945,0.03941518391418208,0.09599368070241532,0.1149568323423266,0.05376382020491055,0.22376028443632912,0.8595617926422668,0.4785812360552618,0.05072805230458581,0.967741157086414,0.06157419578727267,0.02788900361579469,0.02185864257088422,0.21823604161467827,0.15104022585146348,0.3849915202962333,0.2077133769645516,0.14297506037885105,0.5005298339840287,0.9750415457531606,0.783290040590383,0.00297537827882357,0.115899011405857,0.983690078461508,0.6857467891838562,0.18510017196795728,0.8023102508770282,0.03610349252207743,0.04068915219472092,0.6278566255055877,0.0185526109457613,0.29235076430862494,0.06017498217401683,0.3108148184378381,0.13534379476297748,0.11676638417655992,0.4931455764908022,0.02893468481893272,0.07764021894411532,0.08704712493609419,0.25622785899531997
Colorado,NA,NA,NA,NA,NA,0.20035260857902473,0.5517012159473886,0.7663717417637055,0.7089430415389911,0.25261728341184314,0.8229560747571,0.5976210462800399,0.3824495775831988,0.8372199500939073,0.42293055422661346,0.5252965794400252,0.9112640737042442,0.8834880499922746,0.6631372793501596,0.1424594668941786,0.8885115940068948,0.21382361157009372,0.44152058005688855,0.8083704071263176,0.22163513464194817,0.16879435414094576,0.44108080255436727,0.24321641554432827,0.3078173913572846,0.2752147420718702,0.26263978974328833,0.4394153612778445,0.9584814993824706,0.8773380316697578,0.30217547904998554,0.9672111763310836,0.3628368403369888,0.2362612222877352,0.20546050385331657,0.6248379891650891,0.5808720889523541,0.7776837625181525,0.6551966942610542,0.520390206535174,0.6931915226487375,0.9768093082166808,0.8279906815417665,0.01797957630302632,0.4965081112299019,0.9903382724811052,0.741573714805025,0.7078222742372118,0.8642529807536505,0.1539449168512458,0.06177598827690178,0.8871721959475681,0.18777296703268145,0.6767474087263792,0.4424752896073939,0.6598555084447629,0.5308615554856826,0.4752879141776529,0.832161046023339,0.3906928894154929,0.36310327923284913,0.5022193767522377,0.6970910952614632
Connecticut,NA,NA,NA,NA,NA,NA,0.5320645104425152,0.9590704795063856,0.9439873741567236,0.5560264051022183,0.9753139199335632,0.7720729100311166,0.6739492344186312,0.9521490887754748,0.8651876496081257,0.7838643492659282,0.9836173952565218,0.9808945928544937,0.8554232248800357,0.29062760391993603,0.9646634191203932,0.6907981968177329,0.623966111445929,0.932377321713274,0.5268223085372113,0.16859600769082833,0.7292682453765289,0.5671896156687434,0.5877557381535679,0.5691938489655276,0.519542413293217,0.8409748144624521,0.9808747849827498,0.9454908639521729,0.4790497830093486,0.9943795979293776,0.7292543108888202,0.4122552224738395,0.5206157807944085,0.8453283511537227,0.8437314895379847,0.9567871986864146,0.8581895326047614,0.918997957576167,0.8655146236556968,0.9976321932591212,0.9791107002322886,0.06054559637149066,0.7254147257317334,0.9981967621950204,0.9703032351096372,0.893637085918239,0.9788259157199516,0.23446903973112107,0.3835161847272436,0.9431981673375408,0.26787038519800266,0.8385981856235524,0.7164213246266046,0.8884346742935544,0.7631766740326957,0.5572945621837122,0.939601092239456,0.46213114809083017,0.6572162141598925,0.7280743885943759,0.9324142891772772
Creighton,NA,NA,NA,NA,NA,NA,NA,0.9381029730340932,0.9284572622084154,0.43639268382639534,0.9293531079177888,0.8248642667481713,0.730858688428195,0.883529361378698,0.7600128380113269,0.8589719400308778,0.9872375155982284,0.9434644556756312,0.898017079316823,0.43223273277993535,0.9724479330826172,0.828531690981631,0.8049088873607092,0.8886834883054245,0.8082851602302222,0.6294311427523657,0.8369916105155664,0.7833092369926061,0.8315965451068256,0.8657809438510248,0.6718247413201797,0.8792263280285011,0.9838300440403948,0.9563603332333322,0.8226623742212883,0.9892880711683132,0.8333963704623356,0.6394766785267528,0.7094269410870097,0.9193064900747594,0.9329940296479684,0.950017728230455,0.8738442520883617,0.9446821640044712,0.8360877024456174,0.9892729021552404,0.917572647564284,0.04561557899915178,0.8520920908454187,0.9938438395141096,0.8071069114852606,0.9298674169555452,0.96078544319878,0.4902952346557915,0.7493877692963479,0.953193022338606,0.5264788084254051,0.8342513954033864,0.8436187562217907,0.8988361139535366,0.8655225431758873,0.7053540174939757,0.9404126635834492,0.7927504489689042,0.7574977849746984,0.8302686507257356,0.895883686759122
CS Sacramento,NA,NA,NA,NA,NA,NA,NA,NA,0.2797795883059181,0.01229799945658549,0.34158584366243905,0.15753768468481363,0.05403469882271827,0.3710710626448793,0.06305824312446293,0.10135733927487736,0.6749346218631229,0.45297561412759624,0.1872620288339232,0.03690853525798105,0.3874950028870182,0.06666936767712468,0.07907397070140747,0.2854547696857837,0.02156551629628675,0.02251878486328977,0.13135599084805574,0.04173181137662303,0.05323096938306457,0.06525735112713332,0.01010377995560507,0.11304443454586845,0.7147481199631871,0.4086642062510642,0.04560662377253904,0.6467230986287105,0.04003985054738559,0.01579317248786077,0.01953353331359942,0.0956751431983196,0.2291204458885656,0.28845570711207447,0.3824089980550744,0.1613207439485727,0.3906458423914761,0.856756930255474,0.5078354374751968,0.00241005149884812,0.09111923909620775,0.9008866316329392,0.22830740280472608,0.09905872764462029,0.6600846664490784,0.01408058838514621,0.02702106296723498,0.5669641422949085,0.00772113578859585,0.20294026277195756,0.03294707219765995,0.33868929964340394,0.09119478930623884,0.07994996250788192,0.5050163275435972,0.0502556181998566,0.07957667758887485,0.13792610271522554,0.13233390221292418
Drake,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0534549104703461,0.6764153623021634,0.5617882495183055,0.06120043336949255,0.5717996096995539,0.20670975362358804,0.2221950383800848,0.9043143275565771,0.7957490007817989,0.31260326494987145,0.05149116307393491,0.7172080781476337,0.09936268563541852,0.12272205517051436,0.6448448778242866,0.03502868323728331,0.01681169325390061,0.08354052960749897,0.05377620164311567,0.09460377388500464,0.08856833774905289,0.06209724370227241,0.1644896269762879,0.8991923712053563,0.473722270180552,0.06806276107331068,0.9021024987235114,0.1334261583188203,0.01625022046838294,0.04961417411160444,0.17050970351106712,0.2477670419405568,0.47942606307999747,0.3652605703082937,0.21744897219279935,0.6150289217510354,0.9455916621927674,0.6047229182154515,0.00426521397619614,0.11766411327227189,0.9767845828361048,0.5885894246368389,0.28721866247388067,0.8517064286761659,0.04441712940328506,0.06477349747856702,0.6629827471161912,0.01780208827294131,0.49704022781883966,0.05468741415418231,0.5471360518181363,0.184426042380429,0.1113917252916771,0.673746577941352,0.06688251062298732,0.09484323548659317,0.1976241578461629,0.33823454786179896
