Favorite,Seed_Favorite,Underdog,Seed_Underdog,Round,Mean,Median,experts,ddd,bspn,wts,tra,aw,ml,ddg,kake,log,bb,gq,kake2,tpp,ddd2,maria,raaa,bb2,maria2
Indiana,1,Tennessee Tech,16,1,0.9052903829462752,0.9972385662,0.990613,0.8,0.999406858,0.9999,0.995056584,0.998893628,0.9986662171651648,0.970924759,0.998851443,0.9919908427261686,0.992603232943948,0.9972385662,0.999815116,0.479980209,3.25e-7,0.99813,0.997713262,0.992603232943948,0.99813
South Carolina,1,Norfolk St,16,1,0.914754744621944,0.9991598329806286,0.998434,1,0.999914,0.9999,0.999537775,0.9999001,0.998925655487236,0.989752996,0.999756718,0.999082643658441,0.9991598329806286,0.99999991871,0.991811347,0.40740003199999997,0,0.999004,0.999597296,0.9991598329806286,0.999004
Stanford,1,Sacred Heart,16,1,0.9027314291278963,0.9993666779659858,0.995873,0.8,0.999861286,0.9999,0.999073019,0.999853593,0.9982263125299305,0.98555791,0.999741036,0.9988073447281278,0.9993666779659858,0.99999981524,0.9999743,0.377313212,5.1999999972629496e-8,0.999732,0.999518917,0.9993666779659858,0.999732
Virginia Tech,1,Chattanooga,16,1,0.9138555883041282,0.9923101750426516,0.985579,1,0.997452962,0.9999,0.98720655,0.995699902,0.990695452244754,0.959760165,0.995916252,0.9889357392783767,0.9923101750426516,0.99221944017,0.999643716,0.49548762300000004,8.940000000290382e-7,0.997529,0.995080132,0.9923101750426516,0.997529
Connecticut,2,Vermont,15,1,0.9677082732967132,0.9971737661,0.99,1,0.999191951,0.9999,0.9976942,0.997965647,0.939601092239456,0.979506899,0.999134661,0.9941431166006672,0.988893094848713,0.9971737661,0.999963547,0.52272483300000006,1,0.996046,0.99957929,0.988893094848713,0.996046
Iowa,2,SE Louisiana,15,1,0.9702721310621978,0.99772012,0.990401,1,0.999516828,0.9999,0.998164967,0.99772012,0.9653669484814722,0.983277085,0.998353869,0.992557835970119,0.987878543015083,0.9992103257,0.999801919,0.545639856,0.999999999,0.995719,0.998064651,0.987878543015083,0.995719
Maryland,2,Holy Cross,15,1,0.9129519326410908,0.991492224,0.981553,1,0.996524177,0.9999,0.991165123,0.991492224,0.9941118676574354,0.963434805,0.99801909,0.9859094784593682,0.9578521193469598,0.99046049137,0.999891708,0.547546898,2.0000000544584395e-9,0.995734,0.998905617,0.9578521193469598,0.995734
Utah,2,Gardner Webb,15,1,0.9033927543732257,0.983387,0.979287,1,0.997925035,0.9999,0.97729934,0.997610894,0.9818253054058519,0.934195407,0.997884765,0.973955905045036,0.978194040780201,0.99595559408,0.997842732,0.41998937700000005,0,0.983387,0.987628897,0.978194040780201,0.983387
Duke,3,Iona,14,1,0.9027805521804553,0.985000732,0.976811,1,0.985000732,0.9999,0.973381251,0.993586169,0.9775836558634609,0.913646863,0.997672234,0.977616355634916,0.982142134815137,0.9932560053,0.998493652,0.421646741,3.29e-19,0.990725,0.998501563,0.982142134815137,0.990725
LSU,3,Hawaii,14,1,0.912151858274709,0.987134452,0.981327,1,0.998231462,0.9999,0.995495483,0.995600896,0.9987395526732296,0.961174473,0.989913463,0.9712891694922663,0.9683330641669875,0.98544496072,0.959448138,0.5817141189999999,1.0000000050247593e-8,0.994403,0.987134452,0.9683330641669875,0.994403
Notre Dame,3,Southern Utah,14,1,0.8998653507475839,0.9756093641104778,0.972007,1,0.994247714,0.9999,0.972113856,0.994230473,0.9756093641104778,0.912871096,0.989638595,0.97614193927042,0.983051163854698,0.9878282121,0.973540546,0.46748047,1.38e-11,0.97113,0.973470071,0.983051163854698,0.97113
